	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	Gen,Prl,Com,Ela,Ine,Cmp,Abl,Ill,Nom,Abe,Tem,Dat,Loc,Lat,Tra	0.6881970260223048	0.31770208653960796	0.38068146833920286	0.4683786004885617	0.1273798425069063	0.6605483271375465	0.4646840148698885
1	Basque	Gen,Cau,Abs,Com,Ine,Abl,Erg,All,Ess,Dat,Loc,Par,Lat,Ben,Ins	0.6680347091932458	0.2567494495149984	0.34769336185591915	0.22030093614563837	0.06666666666666667	0.5486632270168855	0.40619136960600377
2	Moksha	Gen,Ela,Ine,Abl,Ill,Nom,Tem,Dat,Loc	0.21218961625282168	0.11959020963380636	0.004107286935552595	0.14641797014915836	0.0625	0.5163656884875847	0.4881489841986456
3	Hindi	Acc,Dat,Acc,Ine,Acc,Erg,Nom,Acc,Ins,Acc,Acc,Gen	0.681399344057473	0.6879759553479532	0.03635277335467879	0.8479323001786158	0.18177405750089162	0.682596699463793	0.6222083398406997
4	Naija	Gen,Nom,Acc	0.9680851063829787	0.6211397071076715	0.056168730076358475	0.6158671119376621	0.6172735816985622	0.9634308510638298	0.964095744680851
5	Finnish	Gen,Ade,Com,Ela,Ine,Abl,Ill,Nom,All,Ess,Abe,Par,Acc,Tra,Ins	0.6690945970864834	0.2799863533160378	0.3612748489088824	0.25516523163914856	0.07869160145354444	0.49990780011063984	0.3352387977134427
6	Croatian	Gen,Nom,Dat,Loc,Acc,Ins	0.6333077084352505	0.45028958745746467	0.19818817010054318	0.4003904973024027	0.14285714285714285	0.5437836326787336	0.2859039765182752
7	Buryat	Gen,Abl,Nom,Dat,Acc	0.1963036963036963	0.1860014736692589	-0.05927844085738823	0.1688940378537694	0.16666666666666666	0.5989010989010989	0.5966533466533467
8	Kirghiz	Gen,Acc,Loc,Acc,Dat,Abl,Nom,Dat,Loc,Acc,Acc,Gen,Ins	0.5014501160092807	0.10887935543196245	0.22218416958335202	0.11805263734292332	0.06655201330358032	0.5249419953596288	0.45330626450116007
9	Estonian	Gen,Ade,Com,Ela,Ine,Abl,Add,Ill,Nom,All,Ter,Abe,Ess,Par,Tra	0.5291929271708683	0.23874792446065016	0.2143403404844229	0.19901825976180973	0.07146077725578653	0.48708858543417366	0.33648459383753504
10	Hebrew	Gen,Tem,Acc	0.9895833333333334	0.9438276776986454	0.3244363230921705	0.9448051948051948	0.6590909090909091	0.9916666666666667	0.9791666666666666
11	Kazakh	Gen,Abl,Nom,Dat,Loc,Acc,Ins	0.5698848954662908	0.21862845801167338	0.3539271307486895	0.16889698645653103	0.1446778865257126	0.5750528541226215	0.5588442565186751
12	North_Sámi	Gen,Com,Ill,Nom,Abe,Ess,Loc,Acc	0.5343757756267064	0.35095049566783026	0.0866235278744586	0.4270935000726771	0.125	0.5621742367833209	0.3608835939439067
13	German	Gen,Dat,Nom,Acc	0.7443477250501079	0.7130061284484759	0.07343968057349137	0.6749738706808927	0.25	0.7152705829952458	0.4443390106219197
14	Turkish	Gen,Abl,Nom,Dat,Loc,Acc,Ins	0.7980184643098401	0.4982688458922924	0.41870125519269075	0.3308277891045475	0.18094811802156113	0.7408241387074983	0.6494032875478496
15	Belarusian	Gen,Nom,Dat,Loc,Voc,Acc,Ins	0.48699643039265683	0.2983698998615911	0.09897494650557215	0.23138396023193053	0.14285714285714285	0.36435492095869454	0.2661907190209077
