	Language	Classes	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	Lat,Ill,Tra,Cmp,Abe,Nom,Dat,Abl,Ela,Prl,Loc,Gen,Tem,Ine,Com	0.7927509293680297	0.5970525508658225	0.30505346646712017	0.4683786004885617	0.4227708638221717	0.6605483271375465	0.5162639405204461
1	Basque	Par,Lat,Ben,Ins,Erg,Ess,Dat,Cau,Abl,All,Abs,Loc,Gen,Ine,Com	0.8171904315196998	0.6183124698617597	0.23583324763523272	0.22030093614563837	0.20085011981625522	0.5486632270168855	0.4353893058161351
2	Moksha	Ill,Nom,Dat,Abl,Ela,Loc,Gen,Tem,Ine	0.5564334085778782	0.21086218088418202	0.2195860190196452	0.14641797014915836	0.1464046601400315	0.5163656884875847	0.47742663656884876
3	Hindi	Acc,Gen,Acc,Dat,Acc,Ine,Nom,Acc,Acc,Erg,Acc,Ins	0.6718725597376229	0.8297987139294293	-0.07715368920395205	0.8479323001786158	0.7984578751744192	0.682596699463793	0.6255401114061118
4	Naija	Acc,Gen,Nom	0.9654255319148937	0.9474406916365042	0.022429016235451127	0.6158671119376621	0.6158671119376621	0.9634308510638298	0.9634308510638298
5	Finnish	Par,Ill,Ade,Tra,Ins,Nom,Ess,Abe,Acc,Ela,All,Abl,Gen,Ine,Com	0.783975659229209	0.5624037242537294	0.3026729990001074	0.25516523163914856	0.21708587384766723	0.49990780011063984	0.3379125945048866
6	Croatian	Ins,Nom,Acc,Dat,Loc,Gen	0.649800824655811	0.4978568631771761	0.06039439431780602	0.4003904973024027	0.3546679382918156	0.5437836326787336	0.47291914179886785
7	Buryat	Nom,Acc,Dat,Abl,Gen	0.5826673326673326	0.30510556786688053	0.22889939008360055	0.1688940378537694	0.17010882077637987	0.5989010989010989	0.4537962037962038
8	Kirghiz	Acc,Gen,Acc,Loc,Acc,Dat,Ins,Nom,Acc,Dat,Abl,Loc,Gen	0.6574825986078886	0.2962477891769288	0.2880878968171531	0.11805263734292332	0.11844081285145099	0.5249419953596288	0.42082366589327147
9	Estonian	Par,Ill,Tra,Ade,Abe,Nom,Ess,Ter,Ela,All,Abl,Gen,Add,Ine,Com	0.6852678571428571	0.5025623732923609	0.1868027686536633	0.19901825976180973	0.18862615269121213	0.48708858543417366	0.3399859943977591
10	Hebrew	Gen,Acc,Tem	0.9854166666666667	0.9900619094167481	0.3213928807400067	0.9448051948051948	0.9448051948051948	0.9916666666666667	0.9916666666666667
11	Kazakh	Ins,Nom,Acc,Dat,Abl,Loc,Gen	0.711768851303735	0.6267471221826513	0.33583499334975553	0.16889698645653103	0.1757567727824907	0.5750528541226215	0.41367159971811135
12	North_Sámi	Ill,Abe,Nom,Acc,Ess,Loc,Gen,Com	0.6304293869446512	0.6235673356774822	0.05490491142017573	0.4270935000726771	0.38373954946334926	0.5621742367833209	0.4199553239017126
13	German	Acc,Gen,Dat,Nom	0.7382863561102666	0.6793013574747816	0.04356172427649618	0.6749738706808927	0.6270432487907208	0.7152705829952458	0.7061785295854837
14	Turkish	Ins,Nom,Acc,Dat,Abl,Loc,Gen	0.8671470389551903	0.7483258300704134	0.3161367871387277	0.3308277891045475	0.3188757408583786	0.7408241387074983	0.6266606620130601
15	Belarusian	Ins,Nom,Acc,Dat,Loc,Gen,Voc	0.525497195308516	0.3982264179772136	0.005262371426427603	0.23138396023193053	0.2182191052925399	0.36435492095869454	0.30341662417134113
16	Lithuanian	Ins,Nom,Acc,Dat,Loc,Gen,Voc	0.7945966660279747	0.5659894752695236	0.27919928450483256	0.29156340864534813	0.24749109400775013	0.5230887143130868	0.4236443763173022
17	Greek	Nom,Acc,Dat,Gen,Voc	0.7659320006834102	0.6953676105800594	0.05919330813625767	0.6669634383293598	0.5662911751117727	0.7090381001195968	0.627883136852896
18	Slovak	Ins,Nom,Acc,Dat,Loc,Gen,Voc	0.547286617492097	0.5245514381453461	0.05246146459888695	0.37423698189870525	0.3329294447529782	0.4337460484720759	0.3673603793466807
19	Wolof	Gen,Acc,Nom	0.9769076305220884	0.961456922217375	0.17098903455494874	0.7497347234796491	0.9699217045898102	0.7520080321285141	0.9698795180722891
20	Ukrainian	Ins,Nom,Acc,Dat,Loc,Gen,Voc	0.60029296875	0.46833435356370223	0.052782968170256295	0.32876674439341774	0.264800388399369	0.53369140625	0.4111328125
21	Turkish_German	Equ,Ins,Nom,Acc,Dat,Abl,Loc,Gen	0.696852091418715	0.546700352972587	-0.04881875188693052	0.3807371603628602	0.37035325802281593	0.6755066839154809	0.6097455799913756
22	Serbian	Ins,Nom,Acc,Dat,Loc,Gen	0.7060375146541618	0.6249412974823723	0.08665217186456364	0.5375123725209345	0.41984623007632954	0.6422919109026963	0.4827080890973036
23	Danish	Gen,Acc,Nom	0.9984496124031008	0.9988304093567252	0.24119130650666265	0.7096774193548386	0.9976608187134502	0.8325581395348837	0.9968992248062015
24	Catalan	Acc,Dat,Nom,Acc,Dat,Loc,Gen	0.9539130434782609	0.8863386466223169	0.19806716788882872	0.8851102712454897	0.8889035573181433	0.9765217391304348	0.9521739130434783
25	Spanish	Acc,Dat,Nom,Acc,Dat,Acc,Nom	0.9259259259259259	0.607585001015742	0.19132928077391498	0.608173820391952	0.6133577318690066	0.9215167548500882	0.9171075837742504
26	Uyghur	Nom,Acc,Dat,Abl,Loc,Gen	0.8524055449850503	0.6500137455704279	0.4299466872890193	0.5938971352730146	0.5343874209873644	0.8437075292198967	0.7132372927425931
27	Arabic	Acc,Gen,Nom	0.7295887662988967	0.5154534419061246	0.03517894453646364	0.48472992877004306	0.41894647370617455	0.7107564932897109	0.7011033099297894
28	Norwegian_(Nynorsk)	Acc,Gen,Nom	0.9253333333333333	0.8743937586960843	0.17322418224141878	0.632213608957795	0.8919333465845094	0.852	0.9346666666666666
29	Urdu	Acc,Acc,Gen,Acc,Dat,Nom	0.6702721977891358	0.8073149996877101	-0.11515262998338882	0.8436410660967579	0.8292175329060235	0.6916676571971948	0.6619517413526685
30	Kurmanji	Con,Acc,Nom	0.5137976346911958	0.3944194102631618	-0.06277090530285712	0.28430798459296275	0.2764577749806579	0.3773981603153745	0.3495400788436268
31	Romanian	Dat,Gen,Nom,Acc,Dat,Acc,Nom,Gen,Voc	0.968732153055397	0.7834203136678219	0.336350383881175	0.6438072311750629	0.6367238285338866	0.903912050256996	0.816533409480297
32	Dutch	Acc,Nom	0.9761904761904762	0.9673913043478262	0.18717391959950536	0.9565217391304348	0.9375	0.9682539682539683	0.9206349206349206
33	Komi_Zyrian	Ill,Nom,Acc,Dat,Egr,Ela,Loc,Gen,Ine	0.46186681844052363	0.08138879826110651	0.16830383126426013	0.06184112596360481	0.06184112596360481	0.6303357996585088	0.6303357996585088
34	Polish	Ins,Nom,Acc,Dat,Loc,Gen,Voc	0.59147685525349	0.5034638309823972	0.02211525364715916	0.31944094054452776	0.27187554930436936	0.43410593814708437	0.3189499699418876
35	Tamil	Ins,Nom,Acc,Dat,Loc,Gen,Com	0.941031941031941	0.8568117977649349	0.4380543872069296	0.33188652048841316	0.3048482162876446	0.7874692874692875	0.5933660933660934
36	Hungarian	Ade,Tra,Nom,Abs,Ill,Abl,All,Dis,Del,Ins,Ess,Dat,Ela,Loc,Gen,Tem,Cau,Ine,Sbl,Acc,Sup,Ter	0.8644536652835408	0.5708609057692808	0.29745519667710896	0.2160661086620284	0.2009163247803754	0.734637423434104	0.4463544754001186
37	Russian	Par,Ins,Nom,Acc,Dat,Loc,Gen,Voc	0.6229671084354954	0.48886983515901417	0.03814791216233715	0.2946845440555653	0.26038410663311845	0.4351155076932069	0.3273959992401771
38	Czech	Ins,Nom,Acc,Dat,Loc,Gen,Voc	0.6021354313009273	0.5018786963560279	0.043984340668004496	0.40984769503570506	0.3332784228873962	0.5154437442299201	0.40084494039256613
39	Latvian	Nom,Acc,Dat,Loc,Gen,Voc	0.689341875364007	0.600941017089984	0.13131211377672236	0.400819055765524	0.3205850563037513	0.5511939429237042	0.3636575422248107
40	Icelandic	Acc,Gen,Dat,Nom	0.6507758590493538	0.6353600077487376	-0.09025335813049107	0.5539607137003034	0.5212983483583621	0.6379207678027251	0.565939262320922
41	Afrikaans	Acc,Acc,Nom,Nom	1.0	1.0	0.19179171221305769	1.0	1.0	1.0	1.0
42	Slovenian	Ins,Nom,Acc,Dat,Loc,Gen	0.5794859956909818	0.5805920256222884	-0.01767617709417657	0.48789838884624315	0.38897802525383823	0.5164666051092643	0.3848876577408433
43	English	Acc,Nom,Gen	0.9006849315068494	0.8533928403897444	0.15522324191942305	0.8374648743069796	0.8690228638598699	0.9240867579908676	0.8829908675799086
44	Irish	Gen,Voc,Dat,Nom	0.7419251678925488	0.5775150231698076	0.009508509469361548	0.5770711062492624	0.5261857527493299	0.8522545570834665	0.7227374480332587
45	Swedish	Acc,Gen,Nom	0.9858397797299069	0.8982222117364427	0.24385998967791045	0.7292558296371229	0.7106127948766452	0.9777107643896683	0.9722040120624098
46	Marathi	Ins,Erg,Nom,Acc,Dat,Abl,Abs,Loc,Com	0.65	0.638853977563655	-0.030803571428571375	0.32755550900712194	0.31206651771167904	0.5571428571428572	0.45714285714285713
47	Norwegian_(Bokmal)	Acc,Gen,Nom	0.9923928077455049	0.9928004866180049	0.2288608048088433	0.7038913597012392	0.9634742828042778	0.8858921161825726	0.9771784232365145
48	Bulgarian	Acc,Voc,Dat,Nom	0.9362549800796812	0.6376736268760624	0.27567243110995343	0.613815215122883	0.613815215122883	0.9332669322709163	0.9332669322709163
49	Armenian	Ins,Nom,Dat,Abl,Loc,Gen	0.8721719457013575	0.875387395620228	0.30837259418505003	0.5120586118762253	0.5014972424207597	0.6668552036199095	0.5407239819004525
50	Latin	Nom,Acc,Dat,Abl,Loc,Gen,Voc	0.7079072087802445	0.5190714782782139	-0.09801693007513679	0.4695073406955046	0.4671126222304096	0.6746487070757462	0.6123721626340733
