	Language	Family	Script	#Classes	Majority Baseline Accuracy	Random Baseline Accuracy SGD	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Random Baseline Accuracy MLP	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity
0	Afrikaans	IE, Germanic	Latin	4	1.0	1.0	1.0	1.0	0.1917917122130576	0.9961612284069098	0.8435700575815739	0.4623494353041344	0.0776950700033168
1	Arabic	Afro-Asiatic, Semitic	Arabic	3	0.7107564932897109	0.7011033099297894	0.7295887662988967	0.5154534419061246	0.0351789445364636	0.6775660314276162	0.7440989635573387	0.5328571543946011	0.0937188065088531
2	Armenian	IE, Armenian	Armenian	6	0.6668552036199095	0.5407239819004525	0.8721719457013575	0.875387395620228	0.30837259418505	0.4677601809954751	0.8229638009049773	0.650317206126776	0.2917793645135983
3	Basque	Basque	Latin	15	0.5486632270168855	0.4353893058161351	0.8171904315196998	0.6183124698617597	0.2358332476352327	0.4061913696060037	0.6680347091932458	0.2567494495149984	0.3476933618559191
4	Belarusian	IE, Slavic	Cyrillic	7	0.3643549209586945	0.3034166241713411	0.525497195308516	0.3982264179772136	0.0052623714264276	0.2661907190209077	0.4869964303926568	0.2983698998615911	0.0989749465055721
5	Bulgarian	IE, Slavic	Cyrillic	4	0.9332669322709164	0.9332669322709164	0.9362549800796812	0.6376736268760624	0.2756724311099534	0.8844621513944223	0.8894422310756972	0.4858808432543001	0.2596406538688796
41	Buryat	Mongolic	Cyrillic	5	0.5989010989010989	0.4537962037962038	0.5826673326673326	0.3051055678668805	0.2288993900836005	0.5966533466533467	0.1963036963036963	0.1860014736692589	-0.0592784408573882
6	Catalan	IE, Romance	Latin	7	0.9765217391304348	0.9521739130434784	0.9539130434782608	0.8863386466223169	0.1980671678888287	0.6860869565217391	0.908695652173913	0.5571669390523203	0.3785296422262352
7	Croatian	IE, Slavic	Latin	6	0.5437836326787336	0.4729191417988678	0.649800824655811	0.4978568631771761	0.060394394317806	0.2859039765182752	0.6333077084352505	0.4502895874574646	0.1981881701005431
8	Czech	IE, Slavic	Latin	7	0.5154437442299201	0.4008449403925661	0.6021354313009273	0.5018786963560279	0.0439843406680044	0.3393810460402199	0.5111086581302934	0.3370464130012443	0.0197958895658181
9	Danish	IE, Germanic	Latin	3	0.8325581395348837	0.9968992248062016	0.9984496124031008	0.9988304093567252	0.2411913065066626	0.4418604651162791	0.9968992248062016	0.9976608187134502	0.2519126938274526
10	Dutch	IE, Germanic	Latin	2	0.9682539682539684	0.9206349206349206	0.9761904761904762	0.9673913043478262	0.1871739195995053	0.9682539682539684	0.9761904761904762	0.9673913043478262	0.1707982749781356
11	English	IE, Germanic	Latin	3	0.9240867579908676	0.8829908675799086	0.9006849315068494	0.8533928403897444	0.155223241919423	0.7511415525114156	0.9252283105022832	0.8416576725445784	0.1856212378107311
42	Erzya	Uralic, Mordvin	Cyrillic	15	0.6605483271375465	0.5162639405204461	0.7927509293680297	0.5970525508658225	0.3050534664671201	0.4646840148698885	0.6881970260223048	0.3177020865396079	0.3806814683392028
12	Estonian	Uralic, Finnic	Latin	15	0.4870885854341736	0.3399859943977591	0.6852678571428571	0.5025623732923609	0.1868027686536633	0.336484593837535	0.5291929271708683	0.2387479244606501	0.2143403404844229
13	Finnish	 Uralic, Finnic	Latin	15	0.4999078001106398	0.3379125945048866	0.783975659229209	0.5624037242537294	0.3026729990001074	0.3352387977134427	0.6690945970864834	0.2799863533160378	0.3612748489088824
14	German	IE, Germanic	Latin	4	0.7152705829952458	0.7061785295854837	0.7382863561102666	0.6793013574747816	0.0435617242764961	0.4443390106219197	0.7443477250501079	0.7130061284484759	0.0734396805734913
15	Greek	IE, Greek	Greek	5	0.7090381001195968	0.627883136852896	0.7659320006834102	0.6953676105800594	0.0591933081362576	0.5212711430035879	0.7691781992140783	0.4617972800517615	0.1225017663263288
16	Hebrew	Afro-Asiatic, Semitic	Hebrew	3	0.9916666666666668	0.9916666666666668	0.9854166666666668	0.990061909416748	0.3213928807400067	0.9791666666666666	0.9895833333333334	0.9438276776986454	0.3244363230921705
17	Hindi	IE, Indic	Devanagari	12	0.682596699463793	0.6255401114061118	0.6718725597376229	0.8297987139294293	-0.077153689203952	0.6222083398406997	0.681399344057473	0.6879759553479532	0.0363527733546787
18	Hungarian	Uralic, Ugric	Latin	22	0.734637423434104	0.4463544754001186	0.8644536652835408	0.5708609057692808	0.2974551966771089	0.656392017387868	0.7427385892116183	0.16061217883221	0.4288029077414804
19	Icelandic	 IE, Germanic	Latin	4	0.6379207678027251	0.565939262320922	0.6507758590493538	0.6353600077487376	-0.090253358130491	0.4110476724228519	0.6401275000875687	0.6014476000012695	-0.0683587138379757
20	Irish	IE, Celtic	Latin	4	0.8522545570834665	0.7227374480332587	0.7419251678925488	0.5775150231698076	0.0095085094693615	0.7451231212024304	0.7950111928365846	0.3706764660099179	0.0768392668300558
