	Language	Shannon Evenness Index	#Labels
0	Erzya	0.1350362028021276	2
1	Maghrebi_Arabic_French	0.3285806149567891	2
2	Hindi	0.8782771900721346	2
3	Naija	0.8151482504412263	3
4	Croatian	0.9122404879644957	3
5	Buryat	0.9709505944546688	2
6	Hebrew	0.7364419352274121	3
7	Kazakh	0.8812908992306927	2
8	German	0.8727297838154341	4
9	Belarusian	0.8669844256229774	3
10	Lithuanian	0.5695553282872768	4
11	Greek	0.9320948089137483	3
12	Slovak	0.9457809708435067	3
13	Wolof	0.672294817075638	2
14	Ukrainian	0.9425125591231052	3
15	Turkish_German	0.9870249819014142	3
16	Serbian	0.8775430971410979	3
17	Danish	0.8803498827847925	2
18	Catalan	0.5072496146477992	4
19	Spanish	0.9820134941896312	2
20	French	0.9891029949721671	2
21	Italian	0.9734894601575795	2
22	Uyghur	0.5435644431995964	2
23	Arabic	0.9905884337400175	2
24	Norwegian_(Nynorsk)	0.8717329607529682	4
25	Urdu	0.7018787082778944	2
26	Kurmanji	0.841824403718423	3
27	Welsh	0.8420268914290341	2
28	Romanian	0.9703986832694784	2
29	Dutch	0.690851122049474	3
30	Polish	0.9184346647154514	3
31	Tamil	0.4977899834514865	3
32	Russian	0.9700904087805996	3
33	Czech	0.6748840884278593	6
34	Latvian	0.9992249755921739	2
35	Icelandic	0.9399904738638707	3
36	Portuguese	0.9982586515220468	2
37	Slovenian	0.9446743093716886	3
38	English	0.89956242797756	3
39	Irish	0.6102965847382685	3
40	Swedish	0.4587537008165086	4
41	Ligurian	0.9814538950336537	2
42	Marathi	0.9257354909671465	3
43	Norwegian_(Bokmal)	0.8157862018854779	4
44	Bulgarian	0.9672811190253982	3
45	Latin	0.9831948606449098	3
