	Language	Shannon Evenness Index	#Labels
0	Erzya	0.8838514492568234	3
1	Basque	0.776285005712265	2
2	Maghrebi_Arabic_French	0.92869021846869	2
3	Moksha	0.46086141160962013	3
4	Hindi	0.54912212525635	2
5	Naija	0.9718175200367769	2
6	Finnish	0.714111914661979	2
7	Croatian	0.8268897128685219	2
8	Kirghiz	0.5173687379350903	2
9	Estonian	0.7476114768055255	2
10	Hebrew	0.4327806168234613	4
11	Kazakh	0.34511731494495296	2
12	North_Sámi	0.6424529348700426	3
13	German	0.8857286098120374	2
14	Turkish	0.5436789994271588	2
15	Belarusian	0.8427027177874221	2
16	Lithuanian	0.5833788879245222	3
17	Greek	0.9174945911937817	2
18	Slovak	0.7065397424821133	2
19	Wolof	0.8493490712766242	2
20	Ukrainian	0.5883326178120296	3
21	Turkish_German	0.624219895194415	2
22	Serbian	0.813142105303704	2
23	Danish	0.7931120511025617	2
24	Catalan	0.8416471757191718	2
25	Spanish	0.850751452784588	2
26	French	0.8176207444877529	2
27	Italian	0.8571484374283717	2
28	Uyghur	0.9752786711194179	2
29	Arabic	0.4512144942548537	3
30	Urdu	0.5310832265754034	2
31	Kurmanji	0.655365457864674	3
32	Welsh	0.6631810304977271	2
33	Romanian	0.8479046535210674	2
34	Dutch	0.7036145672234563	2
35	Komi_Zyrian	0.3120895659343453	2
36	Polish	0.5747440400378138	3
37	Tamil	0.6516554687334105	2
38	Hungarian	0.5713432887563961	2
39	Russian	0.895266722746777	2
40	Persian_(Farsi)	0.7488581834862643	2
41	Czech	0.4797897037850943	4
42	Indonesian	0.30187495879618925	2
43	Latvian	0.4984303188927714	4
44	Icelandic	0.7244183226099442	2
45	Afrikaans	0.8687803587325971	2
46	Portuguese	0.8423367208012522	2
47	Slovenian	0.577736642274329	3
48	English	0.7194748553156314	2
49	Irish	0.7158619188844862	2
50	Swedish	0.8790751504711048	2
51	Ligurian	0.3025157467889951	2
52	Marathi	0.6552532589928534	2
53	Norwegian_(Bokmal)	0.5544272663003308	3
54	Bulgarian	0.47698257610646505	4
55	Armenian	0.48818184733333747	4
56	Latin	0.7117279687714708	2
