	Language	Shannon Evenness Index	#Labels
0	Erzya	0.9768680157296182	2
1	Moksha	0.7553754125614287	2
2	Hindi	0.7516617060990379	3
3	Naija	0.9636004782765095	2
4	Finnish	0.9726699911457106	2
5	Croatian	0.8685082226574363	2
6	Buryat	0.9852281360342515	2
7	Kirghiz	0.7789662821857971	3
8	Estonian	0.9841470865164412	2
9	Hebrew	0.7390072228950164	2
10	Kazakh	0.45774450003650335	3
11	North_Sámi	0.8831128787287673	2
12	German	0.723115210721274	2
13	Turkish	0.7663745773354261	3
14	Belarusian	0.8463490335369832	3
15	Lithuanian	0.6952213982081215	3
16	Greek	0.945240858597534	2
17	Slovak	0.6591768057494384	3
18	Wolof	0.7218164818623607	3
19	Ukrainian	0.8027385287698557	3
20	Turkish_German	0.5554819738878806	4
21	Serbian	0.5879933409995155	3
22	Danish	0.9625492632557132	2
23	Catalan	0.6703939056809095	4
24	Spanish	0.7908882774379297	4
25	French	0.6596660964844862	4
26	Italian	0.677764620426076	4
27	Uyghur	0.6199460792963214	2
28	Norwegian_(Nynorsk)	0.7967237861147525	2
29	Urdu	0.7671086788526665	3
30	Kurmanji	0.7950402793845223	2
31	Welsh	0.8105871447338588	5
32	Romanian	0.4821249033447055	4
33	Dutch	0.9502659581734902	2
34	Komi_Zyrian	0.8865408928220898	2
35	Polish	0.8183056519238102	3
36	Tamil	0.8415535253691971	3
37	Hungarian	0.9961238288169683	2
38	Russian	0.7841813865718273	3
39	Persian_(Farsi)	0.8521338122712212	3
40	Czech	0.7070205073425798	3
41	Latvian	0.7831067765386349	3
42	Icelandic	0.97778965294926	2
43	Afrikaans	0.6594304538145423	2
44	Portuguese	0.6074010518078145	5
45	Slovenian	0.39732205458138853	2
46	English	0.9996782764069683	2
47	Irish	0.8554104441418502	3
48	Swedish	0.7110442016968296	2
49	Ligurian	0.6495958722038876	3
50	Marathi	0.8151535301960702	3
51	Norwegian_(Bokmal)	0.8922168379930059	2
52	Bulgarian	0.7028009200288898	3
53	Armenian	0.8559802130487193	3
54	Latin	0.30516302684350954	4
