	Language	Shannon Evenness Index	#Labels
0	Erzya	0.7327484337396162	17
1	Galician	0.8353669529422055	16
2	Basque	0.8111625662061291	15
3	Maghrebi_Arabic_French	0.8633286968880378	17
4	Japanese	0.7328969531746322	16
5	Moksha	0.8685141206812382	11
6	Hindi	0.8321487249564403	15
7	Naija	0.8311213843728599	15
8	Finnish	0.7967588875693765	16
9	Croatian	0.8318606714249955	17
10	Buryat	0.8698883675538982	11
11	Kirghiz	0.7762238570821948	10
12	Maltese	0.8710164420212373	17
13	Estonian	0.8142922932839497	16
14	Hebrew	0.8587069039267894	15
15	Kazakh	0.7958850505709272	16
16	North_Sámi	0.8315437496860149	14
17	German	0.8581651324697143	17
18	Turkish	0.7615111526169356	14
19	Belarusian	0.8253447545419502	17
20	Lithuanian	0.7568588026763342	18
21	Greek	0.8649266422442579	16
22	Slovak	0.826978080968491	17
23	Wolof	0.8350497862282171	17
24	Ukrainian	0.7926429864728786	18
25	Vietnamese	0.777632114067208	17
26	Turkish_German	0.8679587011709249	17
27	Serbian	0.8588341017085279	15
28	Danish	0.8559815053126486	17
29	Telugu	0.7281677029158269	14
30	Catalan	0.845384663497645	17
31	Spanish	0.8401173545248122	17
32	Korean	0.743698510832492	16
33	French	0.8392042171408507	17
34	Italian	0.8193997136448152	18
35	Uyghur	0.6690472760246438	16
36	Arabic	0.7920533246475361	17
37	Norwegian_(Nynorsk)	0.8634225838713278	17
38	Urdu	0.827713242289006	15
39	Kurmanji	0.8002355224394178	15
40	Welsh	0.8251924130194148	16
41	Romanian	0.8361281802187457	16
42	Dutch	0.8721163242692963	16
43	Komi_Zyrian	0.8416180341239832	11
44	Chinese_(Simplified)	0.8157224738282544	16
45	Chinese_(Traditional)	0.8161174621747687	16
46	Polish	0.7997188876839563	18
47	Tamil	0.8598798645095181	14
48	Hungarian	0.8236851365615004	16
49	Russian	0.8117656234530488	17
50	Persian_(Farsi)	0.7918900889854761	16
51	Czech	0.8198428707201879	18
52	Indonesian	0.8046349280063403	18
53	Latvian	0.7915146691697222	17
54	Icelandic	0.8612936641585099	17
55	Afrikaans	0.8730309659927352	16
56	Portuguese	0.8662282239515636	15
57	Slovenian	0.8599088268939906	17
58	English	0.8800708079554947	18
59	Irish	0.7877106389897075	17
60	Swedish	0.8571806152330238	16
61	Ligurian	0.9336514294521592	14
62	Marathi	0.8109398160613273	17
63	Norwegian_(Bokmal)	0.8658388226878021	17
64	Bulgarian	0.8552918958606588	15
65	Armenian	0.800502920722461	18
66	Latin	0.8542004502227011	16
