	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	Masc,Fem	0.0	0.0	-0.7368118717089517	1.0	1.0	1.0	1.0
1	Basque	Fem	0.7	0.5	-0.30000000000000004	0.5	0.5	0.7	0.7
2	Maghrebi_Arabic_French	Masc,Fem	0.8779342723004695	0.5320212765957447	0.09091336637712455	0.5	0.5	0.8826291079812206	0.8826291079812206
3	Hindi	Masc,Fem	0.9095517186757485	0.8889307484028132	0.05279191060349331	0.8586979185010015	0.8448044229939483	0.9131949944558847	0.8678916521463647
4	Naija	Masc,Fem,Neut	0.9696969696969697	0.6666666666666666	0.08182240523703943	1.0	0.6666666666666666	1.0	0.9696969696969697
5	Croatian	Masc,Fem,Neut	0.7521809369951534	0.7246022586747376	0.13899050006193003	0.586679630934221	0.4504486291708842	0.6862681744749596	0.5046042003231018
6	Buryat	Masc,Fem	0.3864864864864865	0.5	-0.21618496486917543	0.5	0.5	0.6135135135135135	0.3864864864864865
7	Hebrew	Fem,Masc,Masc,Fem	0.9123308557270822	0.8387931526154696	0.22075503808585328	0.5903876690636872	0.42890235781061653	0.7754907566228321	0.6739089003239946
8	Kazakh	Masc,Fem	0.5705521472392638	0.5645424836601307	-0.06407281540641796	0.5	0.4963235294117647	0.1656441717791411	0.8282208588957055
9	German	Masc,Neut,Masc,Fem,Neut	0.7819976662379585	0.8185110738007336	0.136531955241032	0.7243195557780466	0.25	0.6834175134361665	0.39880927031607993
10	Belarusian	Masc,Fem,Neut	0.7238082039911308	0.6744692332713784	0.13343848128316171	0.4508463690728137	0.366630456740573	0.5497505543237251	0.46840354767184034
11	Lithuanian	Com,Masc,Fem,Neut	0.773966766084363	0.6954680823234701	0.21376023833219626	0.548055732487356	0.3333333333333333	0.685982104814657	0.5988495952279506
12	Greek	Masc,Fem,Neut	0.8457201435161456	0.8156021767586784	0.1170990118552776	0.713045390917351	0.5511830236060286	0.7920724414830002	0.642576456518025
13	Slovak	Masc,Fem,Neut	0.6563318175554637	0.606105276888718	0.0736126706211685	0.4069538753431801	0.3333333333333333	0.5761333884525286	0.5319002342565798
14	Wolof	Masc,Fem	0.6	0.5	-0.2910567587752054	0.5	0.5	0.4	0.6
15	Ukrainian	Masc,Fem,Neut	0.7673427205787366	0.7576384308186542	0.18696124918909085	0.5041326658779983	0.38972819417685	0.5882960857770314	0.48352925978555744
16	Turkish_German	Masc,Fem,Neut	0.6983293556085919	0.6471734007156287	-0.10323336436888242	0.5683130840504905	0.3333333333333333	0.6587112171837709	0.4797136038186158
17	Serbian	Masc,Fem,Neut	0.8053511705685619	0.7572749009300894	0.22948215734730282	0.6296154345174768	0.540398466779607	0.7359531772575251	0.5904682274247491
18	Danish	Com,Neut	0.8906414300736067	0.8519166022164693	0.058255916754241244	0.7569493328825678	0.7363522847787931	0.8510339992989835	0.7939011566771819
19	Catalan	Fem,Masc,Masc,Fem,Neut	0.977112340263208	0.48940187095778054	0.22695085198725684	0.9071866579611023	0.4117244818146717	0.8828914743467481	0.8218100324241846
20	Spanish	Masc,Fem	0.9853358806216761	0.9844727614380022	0.12801580367232246	0.8403652213270734	0.5	0.8673000464708008	0.5845510404295967
21	French	Masc,Fem	0.9346192384769539	0.9302857842874288	0.07847547937059163	0.7760307533240616	0.7269664333771835	0.8289078156312625	0.7374749498997996
22	Italian	Masc,Fem	0.9716674407803065	0.972954212617273	0.11699647072472108	0.8020650130155491	0.5	0.8320947515095216	0.5766372503483511
23	Uyghur	Masc,Fem	1.0	1.0	0.3174249757986447	1.0	1.0	1.0	1.0
24	Arabic	Masc,Fem	0.9689765149318643	0.9687013585286264	0.1673125488343945	0.8537729416090114	0.7935295695233793	0.8727378022296222	0.7886343867787765
25	Norwegian_(Nynorsk)	Fem,Masc,Masc,Fem,Neut	0.7227648384673178	0.5572968938391195	0.20510448243454016	0.4773876764800101	0.35670764810836825	0.6021788129226145	0.5334335086401202
26	Urdu	Masc,Fem	0.9050148221343873	0.8387690848974034	0.025979295996335194	0.8313196108940513	0.5	0.9166254940711462	0.7816205533596838
27	Kurmanji	Fem,Masc,Masc,Fem	0.4788972920224445	0.3333333333333333	0.07955146983986944	0.4596349917716975	0.43040408716390366	0.5611124664552329	0.36521102707977554
28	Welsh	Masc,Fem	0.8308791684711997	0.7799791357238843	-0.038165697393740206	0.7558912038833947	0.7005549431687824	0.8386747509744478	0.7704634040710264
29	Romanian	Masc,Fem	0.9471985919624524	0.9454842388114519	0.2515357642241529	0.724115000989952	0.6883999198178523	0.7654737459665591	0.7031387503666764
30	Dutch	Com,Neut,Com,Neut	0.8242229367631297	0.5441628292777277	0.13472687234622938	0.4522076661814653	0.4235923581199315	0.7604501607717041	0.6714898177920686
31	Polish	Masc,Fem,Neut	0.7066967553061723	0.6805817710159837	0.06277659939759139	0.4889338254005793	0.3333333333333333	0.597096852890949	0.4828616735789217
32	Tamil	Com,Masc,Neut	0.8938814531548758	0.5733349880036402	0.294706006521802	0.515032679738562	0.4705551418879788	0.8881453154875717	0.7753346080305927
33	Russian	Masc,Fem,Neut	0.7961055256920669	0.7918134423268791	0.11728611421405266	0.5416228995789251	0.3333333333333333	0.628460334918594	0.4723250662246526
34	Czech	Fem,Fem,Masc,Neut,Masc,Fem,Neut,Masc,Neut	0.6603702035882729	0.40084804247109157	0.1610393208616624	0.47496787681822655	0.16666666666666666	0.5994951769250824	0.44215865190908443
