	Language	Classes	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	Fem,Masc	1.0	1.0	0.2910483484921015	1.0	1.0	1.0	1.0
1	Maghrebi_Arabic_French	Fem,Masc	0.8591549295774648	0.5387234042553192	0.14486921529175045	0.5	0.5	0.8826291079812206	0.8826291079812206
2	Hindi	Fem,Masc	0.8923913617403242	0.8575903440281867	0.05713875095850085	0.8586979185010015	0.7075758953852431	0.9131949944558847	0.8046359364274777
3	Naija	Fem,Masc,Neut	1.0	1.0	0.06529616724738674	1.0	1.0	1.0	1.0
4	Croatian	Fem,Masc,Neut	0.7611470113085622	0.7311737267196059	0.10055344164656721	0.586679630934221	0.4885558822915029	0.6862681744749596	0.5437802907915994
5	Buryat	Fem,Masc	0.6081081081081081	0.5227657804750315	0.011616880037932709	0.5	0.49607220972859734	0.6135135135135135	0.4594594594594595
6	Hebrew	Fem,Masc,Fem,Masc	0.9163331427482371	0.8710743400384039	0.25799155041259125	0.5903876690636872	0.5472277617042299	0.7754907566228321	0.6887745378311416
7	Kazakh	Fem,Masc	0.7484662576687117	0.4485294117647059	0.11005605744956637	0.5	0.45955882352941174	0.1656441717791411	0.7668711656441718
8	German	Fem,Masc,Neut,Masc,Neut	0.7950122224398886	0.8285796439872251	0.09641902684008319	0.7243195557780466	0.698186803448399	0.6834175134361665	0.6358223955982182
9	Belarusian	Fem,Masc,Neut	0.7412694013303769	0.7127540042620474	0.12329538184499089	0.4508463690728137	0.43358363400839856	0.5497505543237251	0.45482261640798227
10	Lithuanian	Fem,Masc,Neut,Com	0.7694929697486153	0.6955114025968391	0.1961940577073097	0.548055732487356	0.5007164398798866	0.685982104814657	0.56007669365147
11	Greek	Fem,Masc,Neut	0.8440116179736887	0.8158778891667091	0.08673273132289216	0.713045390917351	0.661380363743484	0.7920724414830002	0.6887066461643602
12	Slovak	Fem,Masc,Neut	0.6575719994488081	0.6061669485607633	0.07108932734593842	0.4069538753431801	0.39849803606866185	0.5761333884525286	0.4293785310734463
13	Wolof	Fem,Masc	0.4	0.38888888888888884	-0.45698282300224047	0.5	0.5	0.4	0.4
14	Ukrainian	Fem,Masc,Neut	0.7607544244929596	0.7509833898771818	0.1256451427954699	0.5041326658779983	0.4452614238573973	0.5882960857770314	0.4653145588425268
15	Turkish_German	Fem,Masc,Neut	0.7551312649164678	0.7237243420617036	-0.027073437322023053	0.5683130840504905	0.6396053058011568	0.6587112171837709	0.645346062052506
16	Serbian	Fem,Masc,Neut	0.8058528428093645	0.767222211924965	0.11755934836929804	0.6296154345174768	0.5392529998999107	0.7359531772575251	0.6011705685618729
17	Danish	Neut,Com	0.8759200841219769	0.8641066623751326	0.06658156272119864	0.7569493328825678	0.6993120423843022	0.8510339992989835	0.7732211706975114
18	Catalan	Neut,Fem,Masc,Fem,Masc	0.9776845317566278	0.9885503181385232	0.204026499329782	0.9071866579611023	0.9133905772652295	0.8828914743467481	0.8236219721533473
19	Spanish	Fem,Masc	0.9829607063561728	0.9826029315184707	0.1630006193386795	0.8403652213270734	0.7941472113037518	0.8673000464708008	0.7847885578561471
20	French	Fem,Masc	0.9336172344689379	0.9312999703484023	0.12477799211828222	0.7760307533240616	0.6912230470045881	0.8289078156312625	0.7374749498997996
21	Italian	Fem,Masc	0.9681839294008361	0.9681110763283581	0.13951260072950744	0.8020650130155491	0.7370510033228699	0.8320947515095216	0.7645146307477938
22	Uyghur	Fem,Masc	1.0	1.0	0.3448209099709584	1.0	0.1	1.0	0.1
23	Arabic	Fem,Masc	0.9582487677587707	0.9585223814393876	0.19248159837076118	0.8537729416090114	0.7826579614071962	0.8727378022296222	0.7716729486807771
24	Norwegian_(Nynorsk)	Fem,Fem,Masc,Masc,Neut	0.737916353618833	0.6473807949800865	0.004537271553681443	0.4773876764800101	0.47630119746078303	0.6021788129226145	0.5797645880290508
25	Urdu	Fem,Masc	0.9027915019762845	0.8253231346997614	0.06137585966911174	0.8313196108940513	0.8026121782954162	0.9166254940711462	0.8790760869565217
26	Kurmanji	Fem,Masc,Fem,Masc	0.5759941449133935	0.5704435166835032	-0.0019620449964092845	0.4596349917716975	0.49258552683825735	0.5611124664552329	0.47206635764820687
27	Welsh	Fem,Masc	0.8048938934603724	0.7696843534316947	-0.030848474717240837	0.7558912038833947	0.7065123451998365	0.8386747509744478	0.7663490688609788
28	Romanian	Fem,Masc	0.9266647110589615	0.923214413207623	0.15938953340642537	0.724115000989952	0.6503743198096827	0.7654737459665591	0.6556174831328836
29	Dutch	Com,Neut,Neut,Com	0.7995712754555199	0.7280362900859393	0.06465767733736194	0.4522076661814653	0.43217182575402524	0.7604501607717041	0.6527331189710611
