	Language	Family	Script	#Classes	Majority Baseline Accuracy	Random Baseline Accuracy SGD	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Random Baseline Accuracy MLP	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity
0	Arabic	Afro-Asiatic, Semitic	Arabic	2	0.8727378022296222	0.7716729486807771	0.9582487677587708	0.9585223814393876	0.1924815983707611	0.7886343867787765	0.9689765149318644	0.9687013585286264	0.1673125488343945
1	Belarusian	IE, Slavic	Cyrillic	3	0.5497505543237251	0.4548226164079822	0.7412694013303769	0.7127540042620474	0.1232953818449908	0.4684035476718403	0.7238082039911308	0.6744692332713784	0.1334384812831617
2	Bulgarian	IE, Slavic	Cyrillic	3	0.6449941500919272	0.5149590506434899	0.8328597693464816	0.8305213527169513	0.1290948240399438	0.5045963563429717	0.834865452114324	0.8332136104119598	0.1533594739917088
38	Buryat	Mongolic	Cyrillic	2	0.6135135135135135	0.4594594594594595	0.6081081081081081	0.5227657804750315	0.0116168800379327	0.3864864864864865	0.3864864864864865	0.5	-0.2161849648691754
3	Catalan	IE, Romance	Latin	5	0.8828914743467481	0.8236219721533473	0.9776845317566278	0.9885503181385232	0.204026499329782	0.8218100324241846	0.977112340263208	0.4894018709577805	0.2269508519872568
4	Croatian	IE, Slavic	Latin	3	0.6862681744749596	0.5437802907915994	0.7611470113085622	0.7311737267196059	0.1005534416465672	0.5046042003231018	0.7521809369951534	0.7246022586747376	0.13899050006193
5	Czech	IE, Slavic	Latin	9	0.5994951769250824	0.4971796269523381	0.6964543881686536	0.6550048682716086	0.1344354044363908	0.4421586519090844	0.6603702035882729	0.4008480424710915	0.1610393208616624
6	Danish	IE, Germanic	Latin	2	0.8510339992989835	0.7732211706975114	0.8759200841219769	0.8641066623751326	0.0665815627211986	0.7939011566771819	0.8906414300736067	0.8519166022164693	0.0582559167542412
7	Dutch	IE, Germanic	Latin	4	0.7604501607717041	0.6527331189710611	0.7995712754555199	0.7280362900859393	0.0646576773373619	0.6714898177920686	0.8242229367631297	0.5441628292777277	0.1347268723462293
8	English	IE, Germanic	Latin	3	1.0	0.9871794871794872	1.0	1.0	0.2527701375245579	0.9974358974358974	0.6871794871794872	0.6666666666666666	-0.0438617701878998
39	Erzya	Uralic, Mordvin	Cyrillic	2	1.0	1.0	1.0	1.0	0.2910483484921015	1.0	0.0	0.0	-0.7368118717089517
9	French	IE, Romance	Latin	2	0.8289078156312625	0.7374749498997996	0.933617234468938	0.9312999703484024	0.1247779921182822	0.7374749498997996	0.934619238476954	0.9302857842874288	0.0784754793705916
