	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	Sing,Plur,Plur,Sing	0.8229652669777087	0.8118005695013332	0.2622184981888145	0.5582709776437054	0.49882192725600066	0.702954898911353	0.5697252462415759
1	Basque	Sing,Plur	0.8745335820895522	0.823129783632617	0.17091497209529605	0.6050582315278187	0.585123362525758	0.8252487562189055	0.7356965174129353
2	Maghrebi_Arabic_French	Sing,Plur	0.7336448598130841	0.7122364014842972	-0.035518903253117906	0.5187347271246266	0.4783238302108788	0.602803738317757	0.514018691588785
3	Moksha	Sing,Plur,Plur,Sing	0.5858838226108682	0.3702275807834723	0.13231956558275582	0.3409425096356482	0.3333333333333333	0.5690193628981887	0.14303560274828234
4	Hindi	Sing,Plur	0.9281504986400725	0.7629169298466338	0.07215275661354126	0.7039415087158929	0.6603376877136465	0.9062556663644605	0.8789664551223935
5	Naija	Sing,Plur	0.9994717379820391	0.9993377483443708	0.036405535891446794	0.9701986754966887	0.5	0.9762282091917591	0.601162176439514
6	Finnish	Sing,Plur	0.8929069170395364	0.8366510570427311	0.16612475288162676	0.6169156276300685	0.6027196887175226	0.8382601041590259	0.7341010782659723
7	Croatian	Sing,Plur	0.8215499660095174	0.777570420660726	0.03350379948025106	0.660890253014266	0.5	0.8082936777702243	0.7297076818490823
8	Buryat	Sing	0.5308427454387489	0.5	-0.4691572545612511	0.5	0.5	0.5308427454387489	0.5308427454387489
9	Kirghiz	Sing,Plur	0.9095464135021097	0.7239002417712502	0.48139782685122917	0.5263199606745518	0.5202064586029435	0.8858122362869199	0.8852848101265823
10	Estonian	Sing,Plur	0.9013172666716563	0.8407640194374132	0.21507790288732687	0.5920745222134597	0.5547535757127082	0.8263603023725768	0.7676446373774418
11	Hebrew	Sing,Plur,Sing,Dual,Plur	0.9260247855100096	0.9364201043327091	0.46741890510036305	0.795303018312865	0.4444923860737313	0.8377502383222116	0.7601525262154433
12	Kazakh	Sing,Plur	0.6125528062764032	0.5	0.047954738739795943	0.5007788161993769	0.5	0.6131563065781533	0.6125528062764032
13	North_Sámi	Sing,Dual,Plur	0.8833364295002787	0.5883301654195597	0.23038937655322578	0.6556906402611632	0.3333333333333333	0.8263050343674531	0.6890209920118893
14	German	Sing,Plur	0.8405485854174201	0.7863614627053703	0.008068669908751436	0.675355002704192	0.6573039587424923	0.7976242801902801	0.7144963418365927
