	Language	Classes	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	Plur,Sing,Plur,Sing	0.7947122861586314	0.7917690508002536	0.18102152502890434	0.5582709776437054	0.5203058872800227	0.702954898911353	0.5769828926905132
1	Basque	Plur,Sing	0.8547885572139303	0.7902055122166618	0.11137344274769578	0.6050582315278187	0.5584224131586695	0.8252487562189055	0.7473569651741293
2	Maghrebi_Arabic_French	Plur,Sing	0.6448598130841121	0.6301927776269345	-0.07987886287407608	0.5187347271246266	0.5362023712553172	0.602803738317757	0.5934579439252337
3	Moksha	Plur,Sing,Plur,Sing	0.6108682073703935	0.4247750850888427	0.10685214311336533	0.3409425096356482	0.3409425096356482	0.5690193628981887	0.5690193628981887
4	Hindi	Plur,Sing	0.8809156844968269	0.8026774317971611	0.03903027665036907	0.7039415087158929	0.6098328457728305	0.9062556663644605	0.8607434270172257
5	Naija	Plur,Sing	0.9994717379820391	0.9993377483443708	0.04330449059527952	0.9701986754966887	0.9993377483443708	0.9762282091917591	0.9994717379820391
6	Finnish	Plur,Sing	0.8778698745690604	0.8254665081403103	0.1931685586550208	0.6169156276300685	0.5745078237487838	0.8382601041590259	0.7311670211985624
7	Croatian	Plur,Sing	0.817675050985724	0.7671562962646383	0.09516886796841162	0.660890253014266	0.6172811744699612	0.8082936777702243	0.6299116247450713
8	Kirghiz	Plur,Sing	0.9058544303797469	0.739251211364252	0.2570457874908909	0.5263199606745518	0.5234026544677521	0.8858122362869199	0.8789556962025317
9	Estonian	Plur,Sing	0.8918119901204999	0.8304442365102254	0.1888431210103365	0.5920745222134597	0.5850232340714179	0.8263603023725768	0.5795224908315246
10	Hebrew	Plur,Sing,Plur,Dual,Sing	0.9138226882745472	0.9213201240536762	0.2754348455259512	0.795303018312865	0.7787248447758907	0.8377502383222116	0.7591992373689228
11	Kazakh	Plur,Sing	0.6644538322269161	0.5832918987769133	0.02893236594541393	0.5007788161993769	0.5121334192716726	0.6131563065781533	0.6095353047676524
12	North_Sámi	Plur,Dual,Sing	0.8842652795838751	0.7402249121127645	0.21992961524821075	0.6556906402611632	0.589091420430167	0.8263050343674531	0.7432658368939253
13	German	Plur,Sing	0.8211311096892647	0.7821654920096648	0.028576908262880174	0.675355002704192	0.6382759907822562	0.7976242801902801	0.7353826466742704
14	Turkish	Plur,Sing	0.9705993930197269	0.9196879408397067	0.2700917788065289	0.6155055383700555	0.5995457967218922	0.8987101669195751	0.7511380880121397
15	Belarusian	Plur,Sing	0.7927321668909825	0.7409721552989768	0.09331922659620351	0.5771583250698851	0.565379005775461	0.7238672050246747	0.6085688649618664
16	Lithuanian	Plur,Dual,Sing	0.7680877410224659	0.503896817565562	0.15634147511798502	0.3944360850067614	0.3661610718310551	0.6716787546435521	0.5986202016628339
17	Greek	Plur,Sing	0.9367874152114303	0.9156383105829373	0.12475665161501936	0.7730280013401425	0.7370337934324809	0.8712656949054698	0.727810650887574
18	Slovak	Plur,Sing	0.7917270451850876	0.704943441128759	0.10221787159248918	0.554712101319803	0.5274084409313314	0.8038466605190357	0.5161375312870504
19	Wolof	Plur,Sing	0.9782820097244732	0.974657790039267	0.12960762585591457	0.956571283937665	0.9494442933345422	0.9747163695299838	0.965964343598055
20	Ukrainian	Plur,Ptan,Sing	0.8310007366094917	0.5895380727562004	0.2022686361978736	0.46932212606753554	0.4002089018473729	0.7883826160159949	0.7139850573503105
21	Turkish_German	Plur,Sing	0.9108396946564885	0.8249669211623583	0.07288390132972522	0.7210747337268162	0.7369376788587266	0.9068702290076336	0.8450381679389313
22	Serbian	Plur,Sing	0.8237192982456141	0.7796875787069946	0.058637431508900995	0.6959478452084892	0.6007573906062171	0.8328421052631579	0.7564912280701754
23	Danish	Plur,Sing	0.87880496054115	0.8601142797114119	0.07595152344646772	0.7342133796555101	0.6900363965915348	0.8604847801578354	0.721815107102593
24	Catalan	Plur,Sing	0.9857041251778094	0.9804466600301325	0.14925945106115024	0.8353446350526881	0.7857861961549619	0.9130867709815078	0.8554765291607397
25	Spanish	Plur,Sing	0.9890177170627177	0.983440001361277	0.17873023571574442	0.8042313540083799	0.6843801451956862	0.8954578502276814	0.5863084988328933
26	French	Plur,Sing	0.9641716920893934	0.9524319451785849	0.15902356192912137	0.7725811120340306	0.7383760917717537	0.8721177722596666	0.8059595601277049
27	Italian	Plur,Sing	0.9549090909090909	0.9421351826812637	0.1486512461897077	0.7782345415158256	0.7571199064525711	0.8845454545454545	0.8016363636363636
28	Uyghur	Plur,Sing	0.8440528634361234	0.7935167000851484	0.1930364065145358	0.7383796385310517	0.7737505836789629	0.8176211453744493	0.8229074889867841
29	Arabic	Plur,Dual,Sing	0.9409623202475578	0.7402476688765884	0.2469575838646586	0.6426841255256824	0.5940817296626364	0.9245591710598073	0.8228869607426734
30	Urdu	Plur,Sing	0.9429544954935151	0.8340050838484745	0.10761746996332455	0.7809298550638094	0.707679573999451	0.9335018685425368	0.9134974719718619
31	Kurmanji	Plur,Sing,Plur,Sing	0.799492385786802	0.7632418398488254	0.2098402894442507	0.610876121070877	0.6105789938686684	0.814902102973169	0.8114575779550399
32	Welsh	Plur,Sing	0.9446153846153846	0.8988495315913088	0.10881519960150854	0.8009140701997461	0.7701971264378968	0.9302153846153847	0.8806153846153846
33	Romanian	Plur,Sing	0.8804737975592247	0.8209167938054693	0.1247154050083793	0.7115259299360387	0.6451947912280607	0.8534338358458962	0.7586743240009571
34	Dutch	Plur,Sing	0.948955223880597	0.9150552646542853	0.16446232602481126	0.7123893805309734	0.7053625463091273	0.8641791044776119	0.7540298507462686
35	Komi_Zyrian	Plur,Sing	0.8059360730593608	0.5064182695058183	0.2284907625237812	0.5015968797555981	0.5015968797555981	0.819634703196347	0.819634703196347
36	Polish	Plur,Ptan,Sing	0.8187372708757638	0.6046061201047558	0.17404938331892206	0.5138317937147399	0.48423085691530793	0.7940829670918641	0.5614749705220281
37	Tamil	Plur,Sing	0.9573863636363636	0.9155011655011656	0.2766717507183609	0.7317404817404818	0.7117327117327117	0.8986742424242424	0.7367424242424242
38	Hungarian	Plur,Sing	0.9379922909334674	0.8360620364022655	0.21440882998400335	0.5798773878564414	0.5041569392204456	0.8950896597955421	0.8614043908161555
39	Russian	Plur,Sing	0.8609859380980012	0.8542000176642074	0.11929506088503061	0.6254164341939334	0.5099291344629332	0.7914418696527118	0.7217496512302621
40	Persian_(Farsi)	Plur,Sing	0.9173849525200877	0.837878894216453	0.12296029330358271	0.7802904957759773	0.7353472639871641	0.9106647187728268	0.7809349890430971
41	Czech	Plur,Sing,Plur,Dual,Sing	0.8146820737811283	0.5354572392347854	0.2118892855666269	0.3952877206151919	0.37185502221616007	0.7789758800387238	0.600290428227152
42	Indonesian	Plur,Sing	0.9940703091910208	0.9633729397556123	0.2456783619852736	0.7777777777777778	0.7768719806763285	0.9711986446421008	0.9695044472681067
43	Latvian	Coll,Plur,Ptan,Sing	0.7773152372262774	0.439256464487937	0.17872331232361593	0.3741944345260012	0.33684114876957594	0.7782276459854015	0.6947422445255474
44	Icelandic	Plur,Sing	0.829482695761373	0.7591008879683707	0.012453049443023723	0.725048420337155	0.7097204951688445	0.8552871436866197	0.7981014623870802
45	Afrikaans	Plur,Sing	0.9236136614028645	0.9218643177630179	0.08509632064961004	0.8434864104967198	0.8019600985199371	0.8773411678295997	0.8152772677194271
46	Portuguese	Plur,Sing	0.9721335683323012	0.9669768677384648	0.1871755338097575	0.7429199038476675	0.7273730292885612	0.8572143095317487	0.7283856523603106
47	Slovenian	Plur,Dual,Sing	0.8059639099839755	0.6253406701607457	0.1275188191892267	0.5199653692793645	0.422549441585641	0.7829722009336028	0.728837176896816
48	English	Plur,Sing	0.9227747337950998	0.8579595501616369	0.12407139391297795	0.730303997464898	0.7131275582675912	0.8888659154347152	0.7913780626486095
49	Irish	Plur,Sing	0.8738898756660746	0.7001858096763492	0.05946708409420787	0.7331457598557481	0.6924043934932016	0.9056394316163411	0.8265985790408525
50	Swedish	Plur,Sing	0.8459654707971104	0.8276191546079997	0.06145649404836129	0.7354908378420502	0.6851699143596812	0.8155993632912942	0.7467858454756948
51	Ligurian	Plur,Sing	0.7832667047401485	0.5726790245471195	0.06900124813209407	0.5600711235042886	0.5607486302793563	0.8135351227869788	0.8138206739006282
52	Marathi	Plur,Sing	0.7990867579908676	0.7606920106920108	0.008908186562296194	0.7214879714879715	0.7201514701514702	0.8949771689497716	0.7853881278538812
