	Language	Family	Script	#Classes	Majority Baseline Accuracy	Random Baseline Accuracy SGD	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Random Baseline Accuracy MLP	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity
0	Afrikaans	IE, Germanic	Latin	2	0.8773411678295997	0.8152772677194271	0.9236136614028644	0.921864317763018	0.08509632064961	0.6081527726771943	0.9247153874403232	0.9252701827780268	0.0468459648029387
1	Arabic	Afro-Asiatic, Semitic	Arabic	3	0.9245591710598072	0.8228869607426734	0.9409623202475578	0.7402476688765884	0.2469575838646586	0.8266488683939082	0.9426005703537408	0.7611330805629337	0.2593773371492037
2	Armenian	IE, Armenian	Armenian	4	0.8644799309451877	0.7293914544669832	0.9335347432024168	0.7815179042687064	0.3363575545699545	0.7772982304704359	0.9227449287872248	0.568108124983063	0.4188349535821895
3	Basque	Basque	Latin	2	0.8252487562189055	0.7473569651741293	0.8547885572139303	0.7902055122166618	0.1113734427476957	0.7356965174129353	0.8745335820895522	0.823129783632617	0.170914972095296
4	Belarusian	IE, Slavic	Cyrillic	2	0.7238672050246747	0.6085688649618664	0.7927321668909825	0.7409721552989768	0.0933192265962035	0.6748541947061463	0.8137056976222521	0.7715265239920719	0.1115448182817574
5	Bulgarian	IE, Slavic	Cyrillic	4	0.8190315315315315	0.654054054054054	0.8806306306306306	0.7480407890755444	0.209236583314426	0.7251126126126126	0.8851351351351351	0.4323763675779101	0.2901211437843337
6	Catalan	IE, Romance	Latin	2	0.9130867709815078	0.8554765291607397	0.9857041251778094	0.9804466600301324	0.1492594510611502	0.8362731152204836	0.9867354196301564	0.9859634616128864	0.1549416078608908
7	Croatian	IE, Slavic	Latin	2	0.8082936777702243	0.6299116247450713	0.817675050985724	0.7671562962646383	0.0951688679684116	0.7297076818490823	0.8215499660095174	0.777570420660726	0.033503799480251
8	Czech	IE, Slavic	Latin	5	0.7789758800387238	0.600290428227152	0.8146820737811283	0.5354572392347854	0.2118892855666269	0.6896949473727574	0.791550804342005	0.3737640440487231	0.2132414971183617
9	Danish	IE, Germanic	Latin	2	0.8604847801578354	0.721815107102593	0.87880496054115	0.8601142797114119	0.0759515234464677	0.7911499436302142	0.9007891770011274	0.860469032882826	0.0903531797947021
10	Dutch	IE, Germanic	Latin	2	0.8641791044776119	0.7540298507462686	0.948955223880597	0.9150552646542852	0.1644623260248112	0.797910447761194	0.9370149253731344	0.923398441533291	0.1554171691078669
11	English	IE, Germanic	Latin	2	0.8888659154347152	0.7913780626486095	0.9227747337950998	0.8579595501616369	0.1240713939129779	0.8157758709810814	0.925772769564768	0.8680514575627152	0.0799574453997384
47	Erzya	Uralic, Mordvin	Cyrillic	4	0.702954898911353	0.5769828926905132	0.7947122861586314	0.7917690508002536	0.1810215250289043	0.5697252462415759	0.8229652669777087	0.8118005695013332	0.2622184981888145
12	Estonian	Uralic, Finnic	Latin	2	0.8263603023725768	0.5795224908315246	0.8918119901204999	0.8304442365102254	0.1888431210103365	0.7676446373774418	0.9013172666716563	0.8407640194374132	0.2150779028873268
13	Finnish	 Uralic, Finnic	Latin	2	0.8382601041590259	0.7311670211985624	0.8778698745690604	0.8254665081403103	0.1931685586550208	0.7341010782659723	0.8929069170395364	0.8366510570427311	0.1661247528816267
14	French	IE, Romance	Latin	2	0.8721177722596666	0.8059595601277049	0.9641716920893934	0.9524319451785848	0.1590235619291213	0.8286626463284853	0.9677190493082654	0.9564699275088726	0.1121580973898583
15	German	IE, Germanic	Latin	2	0.7976242801902801	0.7353826466742704	0.8211311096892647	0.7821654920096648	0.0285769082628801	0.7144963418365927	0.8405485854174201	0.7863614627053703	0.0080686699087514
16	Greek	IE, Greek	Greek	2	0.8712656949054698	0.727810650887574	0.9367874152114304	0.9156383105829372	0.1247566516150193	0.7768797806321258	0.9349112426035504	0.9243612459875792	0.1240707372016092
17	Hebrew	Afro-Asiatic, Semitic	Hebrew	5	0.8377502383222116	0.7591992373689228	0.9138226882745472	0.9213201240536762	0.2754348455259512	0.7601525262154433	0.9260247855100096	0.9364201043327092	0.467418905100363
18	Hindi	IE, Indic	Devanagari	2	0.9062556663644604	0.8607434270172257	0.8809156844968269	0.8026774317971611	0.039030276650369	0.8789664551223935	0.9281504986400724	0.7629169298466338	0.0721527566135412
19	Hungarian	Uralic, Ugric	Latin	2	0.8950896597955421	0.8614043908161555	0.9379922909334674	0.8360620364022655	0.2144088299840033	0.8424669012904307	0.9398357633651752	0.856709699035902	0.1738518429976406
20	Icelandic	 IE, Germanic	Latin	2	0.8552871436866197	0.7981014623870802	0.829482695761373	0.7591008879683707	0.0124530494430237	0.7497468166412358	0.8474013260056443	0.7901747854465899	0.0133992518362061
21	Indonesian	Austronesian, Malayo-Sumbawan	Latin	2	0.9711986446421008	0.9695044472681068	0.9940703091910208	0.9633729397556124	0.2456783619852736	0.9351969504447268	0.9944938585345192	0.9666409136118216	0.1729250672890093
22	Irish	IE, Celtic	Latin	2	0.9056394316163412	0.8265985790408525	0.8738898756660746	0.7001858096763492	0.0594670840942078	0.8317051509769094	0.8654529307282416	0.7940003622576385	0.0208590045238692
23	Italian	IE, Romance	Latin	2	0.8845454545454545	0.8016363636363636	0.9549090909090908	0.9421351826812636	0.1486512461897077	0.8205454545454546	0.9616363636363636	0.9466628380899764	0.1113584364353594
24	Kazakh	 Turkic, Northwestern	Cyrillic	2	0.6131563065781533	0.6095353047676524	0.6644538322269161	0.5832918987769133	0.0289323659454139	0.6125528062764032	0.6125528062764032	0.5	0.0479547387397959
25	Kirghiz	Turkic, Northwestern	Cyrillic	2	0.8858122362869199	0.8789556962025317	0.9058544303797468	0.739251211364252	0.2570457874908909	0.8852848101265823	0.9095464135021096	0.7239002417712502	0.4813978268512291
49	Komi Zyrian	Uralic, Permic	Cyrillic	2	0.819634703196347	0.819634703196347	0.8059360730593608	0.5064182695058183	0.2284907625237812	0.8228310502283105	0.8187214611872146	0.4980083698525121	0.2447963920396159
48	Kurmanji	 IE, Iranian	Latin	4	0.814902102973169	0.8114575779550399	0.799492385786802	0.7632418398488254	0.2098402894442507	0.1867295141406816	0.1867295141406816	0.3333333333333333	-0.3150050482540056
26	Latin	IE, Italic	Latin	2	0.9148370768744069	0.8546029737424865	0.8981335020563113	0.8122844133543452	0.0208047257528667	0.8285352736475798	0.9054096804808603	0.8191170541281032	0.0471132054775097
27	Latvian	IE, Baltic	Latin	4	0.7782276459854015	0.6947422445255474	0.7773152372262774	0.439256464487937	0.1787233123236159	0.6821395985401459	0.7892335766423357	0.4343715986565015	0.2497648049745134
46	Ligurian	IE, Romance	Latin	2	0.8135351227869788	0.8138206739006282	0.7832667047401485	0.5726790245471195	0.069001248132094	0.7892632781267847	0.2107367218732153	0.5	-0.3489626541903127
28	Lithuanian	 IE, Baltic	Latin	3	0.6716787546435521	0.5986202016628339	0.7680877410224659	0.503896817565562	0.156341475117985	0.6134795683707766	0.7834777993985494	0.5109520550788118	0.1967177035106645
50	Maghrebi Arabic French	Codeswitching	Latin	2	0.602803738317757	0.5934579439252337	0.6448598130841121	0.6301927776269345	-0.079878862874076	0.514018691588785	0.7336448598130841	0.7122364014842972	-0.0355189032531179
29	Marathi	IE, Indic	Devanagari	2	0.8949771689497716	0.7853881278538812	0.7990867579908676	0.7606920106920108	0.0089081865622961	0.863013698630137	0.8767123287671232	0.7535640035640035	0.0686766144814089
56	Moksha	Uralic, Mordvin	Cyrillic	4	0.5690193628981887	0.5690193628981887	0.6108682073703935	0.4247750850888427	0.1068521431133653	0.1430356027482823	0.5858838226108682	0.3702275807834723	0.1323195655827558
55	Naija	Creole	Latin	2	0.9762282091917592	0.9994717379820393	0.9994717379820393	0.9993377483443708	0.0433044905952795	0.601162176439514	0.9994717379820393	0.9993377483443708	0.0364055358914467
54	North Sámi	Uralic, Sami	Latin	3	0.8263050343674531	0.7432658368939253	0.8842652795838751	0.7402249121127645	0.2199296152482107	0.6890209920118893	0.8833364295002787	0.5883301654195597	0.2303893765532257
30	Norwegian (Bokmal)	 IE, Germanic	Latin	4	0.8334685050013517	0.7647111832026674	0.8859151121924844	0.57741101812134	0.1197134169378625	0.7164098404974317	0.8896098044516536	0.5811159439128363	0.1399268304144114
31	Persian (Farsi)	IE, Iranian	Arabic	2	0.9106647187728268	0.7809349890430971	0.9173849525200876	0.837878894216453	0.1229602933035827	0.8377647918188459	0.937618699780862	0.8996852225529088	0.1319369281160374
32	Polish	IE, Slavic	Latin	3	0.7940829670918641	0.5614749705220281	0.8187372708757638	0.6046061201047558	0.174049383318922	0.6910172580126487	0.8239897095079859	0.607869749167508	0.189016580115675
33	Portuguese	 IE, Romance	Latin	2	0.8572143095317487	0.7283856523603106	0.9721335683323012	0.9669768677384648	0.1871755338097575	0.8075548992521316	0.9779450292954794	0.9775501392395	0.1519377447220342
34	Romanian	IE, Romance	Latin	2	0.8534338358458962	0.7586743240009571	0.8804737975592247	0.8209167938054693	0.1247154050083793	0.7480258435032304	0.890284757118928	0.8463677947843016	0.0947076926739389
35	Russian	IE, Slavic	Cyrillic	2	0.7914418696527118	0.7217496512302621	0.8609859380980012	0.8542000176642074	0.1192950608850306	0.6839960987172681	0.8787022062000766	0.8554278588985149	0.109230913894916
36	Serbian	IE, Slavic	Latin	2	0.8328421052631579	0.7564912280701754	0.8237192982456141	0.7796875787069946	0.0586374315089009	0.7508771929824561	0.848421052631579	0.7839742142671022	0.0442007566855147
37	Slovak	IE, Slavic	Latin	2	0.8038466605190357	0.5161375312870504	0.7917270451850876	0.704943441128759	0.1022178715924891	0.7197997628770912	0.807666974048215	0.7073098464507468	0.1154919701278762
38	Slovenian	IE, Slavic	Latin	3	0.7829722009336028	0.728837176896816	0.8059639099839755	0.6253406701607457	0.1275188191892267	0.6917020831881836	0.8113983139413363	0.6239138382053672	0.1275291212678043
39	Spanish	IE, Romance	Latin	2	0.8954578502276814	0.5863084988328933	0.9890177170627176	0.983440001361277	0.1787302357157444	0.8116557609153178	0.9929208280717866	0.9905684844103264	0.1315734952298743
40	Swedish	IE, Germanic	Latin	2	0.8155993632912942	0.7467858454756948	0.8459654707971104	0.8276191546079997	0.0614564940483612	0.6667074813272927	0.8736378107016041	0.8582012766769964	0.054987756743005
41	Tamil	 Dravidian	Tamil	2	0.8986742424242424	0.7367424242424242	0.9573863636363636	0.9155011655011656	0.2766717507183609	0.8200757575757576	0.9573863636363636	0.932983682983683	0.2368183379835922
42	Turkish	 Turkic, Southwestern	Latin	2	0.8987101669195751	0.7511380880121397	0.9705993930197268	0.9196879408397068	0.2700917788065289	0.8558421851289834	0.9688922610015176	0.9125506866819756	0.2005036872979243
53	Turkish German	Codeswitching	Latin	2	0.9068702290076336	0.8450381679389313	0.9108396946564884	0.8249669211623583	0.0728839013297252	0.856793893129771	0.9099236641221374	0.8459120133476548	0.0405022928705536
43	Ukrainian	 IE, Slavic	Cyrillic	3	0.7883826160159949	0.7139850573503105	0.8310007366094917	0.5895380727562004	0.2022686361978736	0.7293486267494476	0.8475218352099337	0.5565685546156329	0.2141517847722271
44	Urdu	 IE, Indic	Arabic	2	0.9335018685425368	0.913497471971862	0.9429544954935152	0.8340050838484745	0.1076174699633245	0.9061332160914488	0.9454825236315674	0.8635858874111877	0.0786717712338908
