	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	Past,Pres	0.9217877094972067	0.9094191497430187	0.17367856636652212	0.663493734821162	0.6516754209732207	0.7241620111731844	0.6662011173184358
1	Moksha	Past,Pres	0.6619217081850534	0.5297029702970297	0.030395603767382706	0.5024752475247525	0.49466446644664464	0.6423487544483986	0.5836298932384342
2	Hindi	Fut,Past,Pres	0.8473053892215568	0.6649703138252757	0.10781907818571157	0.9269972451790633	0.6622154928886365	0.9682634730538923	0.8461077844311378
3	Naija	Past,Pres	0.8130841121495327	0.5	-0.1389716369793872	0.825	0.5	0.9345794392523364	0.18691588785046728
4	Finnish	Past,Pres	0.9557635048915355	0.9357924043403769	0.2575243682826176	0.708595564439368	0.5	0.8507018290089323	0.7447894512973203
5	Croatian	Past,Pres	0.9646949519975224	0.6303930508491705	0.1978359247922462	0.4884135472370767	0.5172493514711518	0.8448436048312171	0.8293589346546919
6	Buryat	Past,Pres	0.5432098765432098	0.5950931677018634	0.11378403922263569	0.6314285714285715	0.627080745341615	0.6814814814814815	0.6765432098765433
7	Kirghiz	Fut,Past,Pres	0.31825273010920435	0.5042315042315043	-0.17530950165045228	0.4435850437109883	0.3333333333333333	0.6786271450858035	0.6193447737909517
8	Estonian	Past,Pres	0.9562644341801386	0.9599860467385034	0.21070949670975525	0.686105675146771	0.7051941217299001	0.7684757505773672	0.7209872979214781
9	Hebrew	Fut,Past	0.9695652173913043	0.9439464910030912	0.1835064132948392	0.6578947368421053	0.6337117479515665	0.8681159420289855	0.8521739130434782
10	Kazakh	Fut,Past,Pres	0.6433007985803016	0.3535214669878011	0.13966497827947488	0.3524522028262677	0.3333333333333333	0.6433007985803016	0.6228926353149956
11	North_Sámi	Past,Pres	0.9173553719008265	0.9121531100478468	0.14642630097175557	0.802615629984051	0.7953748006379585	0.8292011019283747	0.809228650137741
12	German	Past,Pres	0.9411122787163527	0.8829006780388573	0.1542897223789096	0.7775139610131032	0.7722331636548854	0.9175491067819901	0.9064748201438849
13	Turkish	Fut,Past,Pres	0.8633615477629988	0.6091768238827062	0.22973957105353326	0.5461849604706748	0.5777297405448666	0.660217654171705	0.6880290205562273
14	Belarusian	Fut,Past,Pres	0.7701342281879194	0.5377704389432078	0.15965458791812182	0.5777000777000777	0.3950207163164829	0.6233221476510067	0.5704697986577181
15	Lithuanian	Fut,Past,Pres	0.7913299044819986	0.5869762765087968	0.16851965185430173	0.4355116648992577	0.40522191425042847	0.4981631153563556	0.4570168993387215
16	Greek	Past,Pres	0.9685681024447031	0.9623211924510158	0.14399384864503273	0.6847457627118644	0.745140641904075	0.7834691501746216	0.779976717112922
17	Slovak	Fut,Past,Pres	0.9502008032128514	0.9345991561181434	0.4133496192705588	0.8027426160337553	0.45964280517968864	0.8497991967871485	0.8224899598393575
18	Wolof	Fut,Past,Pres	0.9981203007518797	0.9980842911877396	0.17138393032618893	0.9363711001642036	0.6637408568443051	0.9473684210526315	0.943609022556391
19	Ukrainian	Fut,Past,Pres	0.8993028659953525	0.8003896893279431	0.28802105255689225	0.5078026616697393	0.3875338753387534	0.6250968241673122	0.5034856700232379
20	Turkish_German	Fut,Pqp,Past,Pres	0.9158829676071055	0.5022829446713803	0.249896764594294	0.47459177435690214	0.367757873036184	0.8396029258098223	0.7753396029258098
21	Serbian	Fut,Past,Pres	0.9758308157099698	0.6596083472299425	0.2989198622032716	0.6098561700944969	0.5498888271261811	0.8489425981873112	0.8392749244712991
22	Danish	Past,Pres	0.9820732657833203	0.9824232656126559	0.15218201565860712	0.8062913907284768	0.8439514673897142	0.8176149649259548	0.8448947778643804
23	Catalan	Fut,Past,Pres,Imp	0.9428754813863928	0.9016495142448939	0.33945838946726614	0.5770821326464355	0.3798340759599377	0.8331193838254172	0.7415489944373128
24	Spanish	Fut,Past,Pres,Imp	0.9050328227571116	0.6833983301503155	0.16752360861137527	0.547070039213241	0.37199819227929365	0.6897155361050328	0.6306345733041575
