	Language	Classes	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	Past,Pres	0.9266759776536313	0.9203741356635119	0.2067142734889592	0.663493734821162	0.6543138156673847	0.7241620111731844	0.6773743016759777
1	Moksha	Past,Pres	0.7224199288256228	0.629070407040704	0.1004319770183939	0.5024752475247525	0.504524202420242	0.6423487544483986	0.6352313167259787
2	Hindi	Pres,Fut,Past	1.0	1.0	0.19754445385266728	0.9269972451790633	0.998303647158609	0.9682634730538923	0.9964071856287425
3	Naija	Past,Pres	1.0	1.0	0.0457839721254355	0.825	0.8097701149425287	0.9345794392523364	0.8785046728971962
4	Finnish	Pres,Past	0.9400255210548703	0.9345393108699791	0.24415313631568636	0.708595564439368	0.7355758614125262	0.8507018290089323	0.7758400680561464
5	Croatian	Pres,Past	0.9804893155775782	0.6519530493876969	0.2457407582816178	0.4884135472370767	0.5359021061542802	0.8448436048312171	0.8200681325487768
6	Buryat	Pres,Past	0.671604938271605	0.6609937888198758	0.08508181227479472	0.6314285714285715	0.513416149068323	0.6814814814814815	0.454320987654321
7	Kirghiz	Past,Pres,Fut	0.7113884555382215	0.5324930494955683	0.18615536392951937	0.4435850437109883	0.41747243006688856	0.6786271450858035	0.4414976599063963
8	Estonian	Past,Pres	0.954243648960739	0.9564327533794594	0.2484521908978179	0.686105675146771	0.7319185108048275	0.7684757505773672	0.7446593533487298
9	Hebrew	Past,Fut	0.9637681159420289	0.9317706294461467	0.20948995274414328	0.6578947368421053	0.6780483524790433	0.8681159420289855	0.7666666666666667
10	Kazakh	Past,Pres,Fut	0.645075421472937	0.3947132998463006	0.13117961511772225	0.3524522028262677	0.3567292594724016	0.6433007985803016	0.6433007985803016
11	North_Sámi	Past,Pres	0.9166666666666666	0.9153748006379585	0.1595238095238095	0.802615629984051	0.8168740031897926	0.8292011019283747	0.8271349862258953
12	German	Pres,Past	0.9309271683776574	0.8551860478510321	0.16949947847983027	0.7775139610131032	0.7551218391145944	0.9175491067819901	0.8726457036617896
13	Turkish	Past,Pres,Fut	0.9262394195888755	0.8515389038498281	0.2922193140847449	0.5461849604706748	0.5790457624491238	0.660217654171705	0.694074969770254
14	Belarusian	Past,Pres,Fut	0.8825503355704698	0.8376106159286937	0.2754431659476869	0.5777000777000777	0.5603948079634579	0.6233221476510067	0.5654362416107382
15	Lithuanian	Past,Pres,Fut	0.8288023512123439	0.7274104014044512	0.214290088627059	0.4355116648992577	0.4540815380261003	0.4981631153563556	0.5356355620867009
16	Greek	Pres,Past	0.9557625145518044	0.9533778098329126	0.1313713773974371	0.6847457627118644	0.7367201586729174	0.7834691501746216	0.7508731082654249
17	Slovak	Past,Pres,Fut	0.9927710843373494	0.9925932998690529	0.39617393834393555	0.8027426160337553	0.7709379092099521	0.8497991967871485	0.691566265060241
18	Wolof	Past,Pres,Fut	0.9906015037593985	0.9813380106483555	0.18449620129487276	0.9363711001642036	0.9870851370851371	0.9473684210526315	0.9962406015037594
19	Ukrainian	Past,Pres,Fut	0.9287374128582494	0.8412001356692625	0.30081695370119677	0.5078026616697393	0.5321527037185755	0.6250968241673122	0.635166537567777
20	Turkish_German	Past,Pres,Pqp,Fut	0.9477533960292581	0.768358241422124	0.18110550077373233	0.47459177435690214	0.47704691463793814	0.8396029258098223	0.7669801462904912
21	Serbian	Pres,Fut,Past	0.980060422960725	0.8645227286764251	0.29334297264989406	0.6098561700944969	0.6332719566425792	0.8489425981873112	0.8380664652567976
22	Danish	Pres,Past	0.9742790335151987	0.9746023076397897	0.17681320492096542	0.8062913907284768	0.8432297203717973	0.8176149649259548	0.8464536243180046
23	Catalan	Pres,Imp,Fut,Past	0.9687633718442448	0.925137936887915	0.20003073183390951	0.5770821326464355	0.6127469612986973	0.8331193838254172	0.8012409071459136
24	Spanish	Past,Imp,Pres,Fut	0.9673960612691466	0.9474659006517372	0.2306779152451628	0.547070039213241	0.5729979268446803	0.6897155361050328	0.7052516411378555
25	French	Pres,Imp,Fut,Past	0.9432048681541582	0.8751192928858843	0.20750792789189487	0.5515671280120746	0.5495425036562804	0.7667342799188641	0.7545638945233266
26	Italian	Pres,Imp,Fut,Past	0.9340866290018832	0.8859600169300959	0.17893152769293574	0.5439200052971466	0.5523318220885818	0.716572504708098	0.6958568738229756
27	Uyghur	Pres,Past	0.9178832116788321	0.7039473684210527	0.24818330848425318	0.8092105263157895	0.8007359500446031	0.9470802919708029	0.9324817518248175
28	Norwegian_(Nynorsk)	Pres,Past	0.9772899318697956	0.973037729355721	0.18001063586204524	0.8688981868898187	0.8828480863627307	0.9288417865253595	0.9242997728993188
29	Urdu	Pres,Fut,Past	0.9981447124304267	0.9965277777777778	0.20036003054470464	0.8736525704809287	0.9930555555555555	0.9517625231910947	0.9962894248608535
30	Kurmanji	Pres,Past	0.5969230769230769	0.3355188593707498	-0.07123035751046458	0.2850609756097561	0.30983373379272827	0.4846153846153846	0.5607692307692308
31	Welsh	Past,Pqp,Fut,Imp,Pres	0.9406015037593985	0.7364343511567503	0.18354784973534677	0.5284754161546534	0.6179931513026047	0.7571428571428571	0.8308270676691729
32	Romanian	Pres,Imp,Pqp,Past	0.8645990922844176	0.4708711889419231	0.19680933487201868	0.3062088164501842	0.3170178986035507	0.8517397881996974	0.6989409984871406
33	Dutch	Pres,Past	0.9834437086092715	0.9746341843088419	0.1975032399582266	0.8267045454545454	0.8707580946450809	0.9326710816777042	0.8785871964679912
34	Komi_Zyrian	Past,Pres	0.5629699248120301	0.4470988922568539	-0.031322255223172335	0.3762057877813505	0.3465206054966417	0.693609022556391	0.549812030075188
35	Polish	Past,Pres,Fut	0.9333509653530812	0.8407711026584014	0.2923540953359548	0.5550341087553985	0.5935295201173593	0.6532663316582915	0.6553821740280349
36	Tamil	Past,Pres,Fut	0.9663461538461539	0.9653045408215575	0.34335027661298845	0.7267304757941462	0.7100800931203146	0.7596153846153846	0.7355769230769231
37	Hungarian	Pres,Past	0.9447513812154696	0.943351691581432	0.20891677172082956	0.6689816215780024	0.6697986644878855	0.611049723756906	0.6751381215469613
