	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	PROPN,PART,_,NOUN,AUX,X,ADJ,INTJ,SCONJ,PUNCT,PRON,ADV,DET,VERB,CCONJ,NUM,ADP	0.6964097654380086	0.3418501940986194	0.40526567735758734	0.547115742796944	0.0625	0.5836285303973193	0.23590234561991383
1	Galician	PROPN,PART,_,NOUN,AUX,NUM,ADJ,PRON,PUNCT,DET,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.8257795615930843	0.5484902959550596	0.2832355665328805	0.7113896664747816	0.27038464743720053	0.848502624266749	0.6435628280333436
2	Basque	PROPN,PART,NOUN,AUX,X,ADJ,PUNCT,PRON,ADV,DET,VERB,SYM,CCONJ,NUM,ADP	0.722737343070485	0.40174106733328363	0.3945187494871585	0.5234020638807471	0.19687124211352844	0.7400098465578075	0.4867892016082711
3	Maghrebi_Arabic_French	PROPN,PART,_,NOUN,X,AUX,ADJ,INTJ,SCONJ,PRON,PUNCT,ADV,DET,VERB,CCONJ,NUM,ADP	0.5278745644599303	0.3097298680114274	0.28310104529616725	0.5952211500792952	0.18088857697398988	0.6912020905923345	0.3397212543554007
4	Japanese	PROPN,PART,NOUN,AUX,NUM,ADJ,INTJ,PUNCT,PRON,DET,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.8331287402178916	0.6066041397723314	0.39550406628816936	0.7709829393558956	0.14358165967052988	0.8882921589688507	0.5201779960104342
5	Moksha	PROPN,NOUN,AUX,ADJ,PUNCT,PRON,ADV,DET,VERB,CCONJ,ADP	0.43775100401606426	0.1283553100368231	0.15135542168674698	0.175001301054375	0.05222921146598491	0.286144578313253	0.11495983935742972
6	Hindi	PROPN,PART,NOUN,AUX,X,ADJ,SCONJ,PUNCT,PRON,DET,ADV,VERB,CCONJ,NUM,ADP	0.7232006773920406	0.49918887357223746	0.24549816539655656	0.777645362641353	0.25274164217291806	0.8395145357042054	0.5379339542760373
7	Naija	PROPN,PART,NOUN,X,AUX,NUM,ADJ,INTJ,PRON,ADV,DET,VERB,CCONJ,SCONJ,ADP	0.8254355400696864	0.6424111444264092	0.03470383275261324	0.8868642739560868	0.3215586644846876	0.9201393728222996	0.6622996515679442
8	Finnish	PROPN,_,NOUN,AUX,X,NUM,ADJ,INTJ,PRON,PUNCT,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.685222001325381	0.392852968559815	0.4086433778282685	0.5495303284187858	0.23226763799517114	0.7140490390987408	0.4983906087285809
9	Croatian	PROPN,PART,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,ADV,DET,VERB,SYM,CCONJ,SCONJ,ADP	0.7713520197856554	0.5780249928247605	0.49711459192085733	0.716424377334575	0.2314702425871884	0.7645094806265458	0.4957131079967024
10	Buryat	PROPN,PART,NOUN,AUX,ADJ,PRON,PUNCT,DET,ADV,VERB,CCONJ	0.3482854864433812	0.13703234940495546	0.11911881977671454	0.11473980550996574	0.09072666045408337	0.21391547049441786	0.09619218500797448
