	Language	Classes	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
0	Erzya	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8047869794159885	0.6757882339191226	0.31077070368597415	0.547115742796944	0.5374831426147388	0.5836285303973193	0.6426998563906176
1	Galician	ADV,PRON,_,PART,DET,ADJ,CCONJ,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8958937943809818	0.7942737050694553	0.12957702994751474	0.7113896664747816	0.6605649392080774	0.848502624266749	0.7575177523927138
2	Basque	ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,PUNCT,PROPN,NUM	0.8179207352096496	0.6181366936699974	0.24238943136128654	0.5234020638807471	0.4667322249860248	0.7400098465578075	0.5890292935094773
3	Maghrebi_Arabic_French	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.7173344947735192	0.6522672701595303	0.1480836236933798	0.5952211500792952	0.537522834649155	0.6912020905923345	0.5601045296167247
4	Japanese	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8622832591683289	0.7560146261230957	0.11830596900414292	0.7709829393558956	0.6665578802698138	0.8882921589688507	0.793002915451895
5	Moksha	ADV,PRON,DET,ADJ,CCONJ,ADP,VERB,AUX,NOUN,PUNCT,PROPN	0.5195783132530121	0.27131462467733164	0.1987951807228916	0.175001301054375	0.21507597742859344	0.286144578313253	0.31350401606425704
6	Hindi	ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8123624047417443	0.7736955994585518	0.06652554332486593	0.777645362641353	0.7282468367003923	0.8395145357042054	0.7430143945808637
7	Naija	INTJ,ADV,PRON,PART,X,ADJ,DET,CCONJ,ADP,VERB,AUX,NOUN,SCONJ,PROPN,NUM	0.9384668989547038	0.9167608967545469	-0.008501742160278769	0.8868642739560868	0.8767572654102143	0.9201393728222996	0.9068989547038327
8	Finnish	INTJ,ADV,PRON,_,X,ADJ,CCONJ,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8158193694973019	0.6693019345941446	0.334422039193411	0.5495303284187858	0.4841420968461133	0.7140490390987408	0.4893022815488024
9	Croatian	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8841714756801319	0.8460344381606748	0.29909315746084086	0.716424377334575	0.6732456777076139	0.7645094806265458	0.640436933223413
10	Buryat	ADV,PRON,PART,DET,ADJ,CCONJ,VERB,AUX,NOUN,PUNCT,PROPN	0.423444976076555	0.2558219312926522	0.15520334928229662	0.11473980550996574	0.15480625952311042	0.21391547049441786	0.2567783094098884
