	Language	Family	Script	#Classes	Majority Baseline Accuracy	Random Baseline Accuracy SGD	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Random Baseline Accuracy MLP	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Original Lang
0	Afrikaans	IE, Germanic	Latin	16	0.8721057338765775	0.7661731094107125	0.9113584418165556	0.8573133909437681	0.1182549935406935	0.2012322369074828	0.8412998111895061	0.714230871192755	0.3824903110404452	Afrikaans
1	Arabic	Afro-Asiatic, Semitic	Arabic	17	0.80281339474667	0.651377290290415	0.8853919980057335	0.8422104859509231	0.2609373052474136	0.5803938676305621	0.745886825377041	0.4842284936921879	0.4645394490838838	Arabic
2	Armenian	IE, Armenian	Armenian	18	0.753004005340454	0.6160595079153156	0.807743658210948	0.6619721561357675	0.2818996757581538	0.252717909593744	0.7003623879458325	0.4182902284310676	0.3427427045584588	Armenian
3	Basque	Basque	Latin	15	0.7400098465578075	0.5890292935094773	0.8179207352096496	0.6181366936699974	0.2423894313612865	0.4867892016082711	0.722737343070485	0.4017410673332836	0.3945187494871585	Basque
4	Belarusian	IE, Slavic	Cyrillic	17	0.7165875593305021	0.5214214339245565	0.8432425680739445	0.7018502606660186	0.3557956532600549	0.2885960529602798	0.6805520859355484	0.4112680042898765	0.4412940294778916	Belarusian
5	Bulgarian	IE, Slavic	Cyrillic	15	0.775248028491478	0.6949249554820657	0.8823454591706945	0.8079988900823157	0.2530526583566522	0.5883363011956245	0.7732765199694734	0.6394444018855127	0.4032052912744849	Bulgarian
55	\textbf{Buryat*}	Mongolic	Cyrillic	11	0.2139154704944178	0.2567783094098884	0.423444976076555	0.2558219312926522	0.1552033492822966	0.0961921850079744	0.3482854864433812	0.1370323494049554	0.1191188197767145	Buryat
6	Catalan	IE, Romance	Latin	17	0.8320198953555972	0.7292810541954654	0.9134099864349848	0.7810275792306837	0.1395097215942122	0.7071410115625606	0.8454880175699244	0.6310250833248903	0.3201182094179963	Catalan
7	Chinese (Simplified)	 Sino-Tibetan	Chinese (simplified)	16	0.7473359973359973	0.6322843822843823	0.7567432567432567	0.707403769548165	0.1333666333666333	0.4463036963036963	0.7017982017982018	0.5886314012723622	0.3295038295038295	Chinese (Simplified)
8	Chinese (Traditional)	Sino-Tibetan	Chinese (traditional)	16	0.7469197469197469	0.644022644022644	0.7543290043290043	0.7488957128995057	0.1312021312021312	0.4439726939726939	0.6987179487179487	0.5088465540928045	0.3647186147186146	Chinese (Traditional)
9	Croatian	IE, Slavic	Latin	17	0.7645094806265458	0.640436933223413	0.8841714756801319	0.8460344381606748	0.2990931574608408	0.4957131079967024	0.7713520197856554	0.5780249928247605	0.4971145919208573	Croatian
10	Czech	IE, Slavic	Latin	18	0.7420877588241604	0.614074613634182	0.8851151051107008	0.7755572123154513	0.3241972004359144	0.4807875820868553	0.7025844301774714	0.4506827659479713	0.3530624114196015	Czech
11	Danish	IE, Germanic	Latin	17	0.7801057567594533	0.6870198543350294	0.8393694502643919	0.7256626261400188	0.1299012271774917	0.5062356579866307	0.7444876783398184	0.4971496323486707	0.3054973560810137	Danish
12	Dutch	IE, Germanic	Latin	16	0.7668506287885641	0.6442594770650503	0.859585632859857	0.7522564194542789	0.187460417986067	0.5325251063059803	0.7311137247806025	0.5373645143956642	0.3675020356464308	Dutch
13	English	IE, Germanic	Latin	18	0.7548133595284873	0.6622789783889981	0.833713163064833	0.7220390810053297	0.1115913555992141	0.4566601178781925	0.6612180746561886	0.4710176681946222	0.2055795677799607	English
56	\textbf{Erzya}	Uralic, Mordvin	Cyrillic	17	0.5836285303973193	0.6426998563906176	0.8047869794159885	0.6757882339191226	0.3107707036859741	0.2359023456199138	0.6964097654380086	0.3418501940986194	0.4052656773575873	Erzya
14	Estonian	Uralic, Finnic	Latin	16	0.714980324288687	0.5838020479222037	0.8094855471083915	0.6872399012351629	0.3049014154150441	0.4754311144075653	0.6785751076498342	0.4099510019850492	0.3577064919545913	Estonian
15	Finnish	 Uralic, Finnic	Latin	16	0.7140490390987408	0.4893022815488024	0.8158193694973019	0.6693019345941446	0.334422039193411	0.4983906087285809	0.685222001325381	0.392852968559815	0.4086433778282685	Finnish
16	French	IE, Romance	Latin	17	0.8169985429820301	0.7236522583778533	0.8985915492957747	0.8012337197171236	0.1593006313744536	0.2724623603691112	0.7915492957746478	0.5801511938070544	0.2678970373967945	French
17	Galician	IE, Romance	Latin	16	0.848502624266749	0.7575177523927138	0.8958937943809818	0.7942737050694553	0.1295770299475147	0.6435628280333436	0.8257795615930843	0.5484902959550596	0.2832355665328805	Galician
18	German	IE, Germanic	Latin	17	0.8023086781616016	0.6945970641635714	0.9074837722056748	0.8459814615087791	0.215384661026	0.6061511350555958	0.8132587309686836	0.6130896971279471	0.4295470457700934	German
19	Greek	IE, Greek	Greek	16	0.8241164621864128	0.676524446072148	0.8888481963010437	0.8580300116762807	0.1993224684123786	0.5198681560153818	0.7683574436916316	0.5903173547137697	0.3642190075077825	Greek
20	Hebrew	Afro-Asiatic, Semitic	Hebrew	15	0.7289065080938223	0.6614469772051537	0.8118268913115295	0.7611064887023471	0.2210769739015526	0.2027750247770069	0.7073670300627685	0.5352702662079949	0.3481334654773704	Hebrew
21	Hindi	IE, Indic	Devanagari	15	0.8395145357042054	0.7430143945808637	0.8123624047417443	0.7736955994585518	0.0665255433248659	0.5379339542760373	0.7232006773920406	0.4991888735722374	0.2454981653965565	Hindi
22	Hungarian	Uralic, Ugric	Latin	16	0.7405245022970903	0.626531393568147	0.8626531393568146	0.7306717430589564	0.2984303215926492	0.2260719754977029	0.7306661562021439	0.5167181547406813	0.3700229709035221	Hungarian
23	Icelandic	 IE, Germanic	Latin	17	0.7870471694739477	0.7060615813753889	0.8081750885098166	0.6381956419899446	0.0956406680256053	0.6113149519007259	0.6839108822372421	0.4170540189611485	0.1959446411329256	Icelandic
24	Indonesian	Austronesian, Malayo-Sumbawan	Latin	18	0.7356110600618161	0.64789908946621	0.8789574805780637	0.8103071922093097	0.2162726589257372	0.447581655667864	0.7837273410742628	0.5146754341259611	0.4625344582741625	Indonesian
25	Irish	IE, Celtic	Latin	17	0.8295578197645662	0.734296171728163	0.8356909684439608	0.6545294261444055	0.1214759125531704	0.5443664061727174	0.7364724502918192	0.4610270546592301	0.2802453259471757	Irish
26	Italian	IE, Romance	Latin	18	0.812085350546889	0.7302313071543841	0.8821947283485745	0.8186163766122592	0.1334947104177873	0.6900663439124978	0.7556033709879864	0.5299385069635032	0.3446297292451138	Italian
27	Japanese	Japanese	Japanese	16	0.8882921589688507	0.793002915451895	0.8622832591683289	0.7560146261230957	0.1183059690041429	0.5201779960104342	0.8331287402178916	0.6066041397723314	0.3955040662881693	Japanese
28	Kazakh*	 Turkic, Northwestern	Cyrillic	16	0.5566291463293157	0.450742105787429	0.5937842414583125	0.335615064654817	0.2824982567984859	0.297041538001793	0.4782348839525849	0.1600266997613074	0.2546070325729654	Kazakh
29	Kirghiz*	Turkic, Northwestern	Cyrillic	10	0.6156578363178925	0.5276010063637709	0.7347935474322924	0.4360296918269778	0.3579991120319668	0.5056977948793844	0.5511321592422673	0.2665642742656254	0.2752700902767501	Kirghiz
58	\textbf{Komi Zyrian}	Uralic, Permic	Cyrillic	11	0.4900678903696253	0.353909982398793	0.3609504651747548	0.2106158510351204	0.0820970580839828	0.2275584611516218	0.1569021875785768	0.1171550390087507	-0.000628614533568	Komi Zyrian
30	Korean	Korean	Korean	16	0.5950081082986675	0.4490939857575971	0.7902770922935909	0.648779508677363	0.4147571035747021	0.3992455756892054	0.666008601847282	0.3285886848604609	0.4591059719382359	Korean
57	\textbf{Kurmanji*}	 IE, Iranian	Latin	15	0.5996629993061751	0.4723956784616909	0.6137377341659233	0.4139610368934309	0.1940727525027257	0.3644563385865794	0.3942908117752007	0.1558046106412056	0.2280701754385964	Kurmanji
31	Latin	IE, Italic	Latin	16	0.8711968904972524	0.8329312424607962	0.9177389089934324	0.8332816993865575	0.0958986731001205	0.4696086315507304	0.7643077335477818	0.5603846149608862	0.3340704999329849	Latin
32	Latvian	IE, Baltic	Latin	17	0.7276388074030615	0.5822443863672729	0.8174302629473572	0.659218225128526	0.2791615552829484	0.583497786548616	0.701984105818977	0.4438499959027148	0.3508720465091471	Latvian
54	\textbf{Ligurian*}	IE, Romance	Latin	14	0.4462563811684628	0.421724333522405	0.5146057855927396	0.4107075863117906	0.0085082246171298	0.1595292115711855	0.3347986386840612	0.179622579717497	0.03275666477595	Ligurian
33	Lithuanian	 IE, Baltic	Latin	18	0.6939885672137194	0.5498801401438318	0.8049050341139591	0.6751825147119658	0.3057348331182002	0.2590816891019731	0.6703853955375254	0.4282725531212098	0.3747003503595796	Lithuanian
59	\textbf{Maghrebi Arabic French}	Codeswitching	Latin	17	0.6912020905923345	0.5601045296167247	0.7173344947735192	0.6522672701595303	0.1480836236933798	0.3397212543554007	0.5278745644599303	0.3097298680114274	0.2831010452961672	Maghrebi Arabic French
60	\textbf{Maltese}	 Afro-Asiatic, Semitic	Latin	17	0.8460218549625215	0.7411722207170595	0.8591167705228935	0.7751342600062509	0.1638219091483789	0.4976971010566242	0.7166982750835366	0.5106389253770878	0.3184322225232548	Maltese
34	Marathi*	IE, Indic	Devanagari	17	0.7633928571428571	0.6696428571428571	0.8080357142857143	0.6447258522332168	0.1339285714285714	0.6205357142857143	0.6629464285714286	0.3462453563391309	0.2477678571428571	Marathi
66	\textbf{Moksha*}	Uralic, Mordvin	Cyrillic	11	0.286144578313253	0.313504016064257	0.5195783132530121	0.2713146246773316	0.1987951807228916	0.1149598393574297	0.4377510040160642	0.1283553100368231	0.1513554216867469	Moksha
65	\textbf{Naija}	Creole	Latin	15	0.9201393728222996	0.9068989547038327	0.9384668989547038	0.9167608967545468	-0.0085017421602787	0.6622996515679442	0.8254355400696864	0.6424111444264092	0.0347038327526132	Naija
64	\textbf{North Sámi}	Uralic, Sami	Latin	14	0.8004995004995005	0.6460539460539461	0.8040959040959041	0.7662970546665608	0.213986013986014	0.5501498501498502	0.6829170829170829	0.4658818810491262	0.3054945054945054	North Sámi
35	Norwegian (Bokmal)	 IE, Germanic	Latin	17	0.7948007742107722	0.6979243142227858	0.8570713475271975	0.7821830360198551	0.1462657678702529	0.1827738103183608	0.7375692451444971	0.4951934936907257	0.2903957818861375	Norwegian (Bokmal)
36	Norwegian (Nynorsk)	IE, Germanic	Latin	17	0.7848867718887499	0.6671779760222823	0.8434989706535341	0.8124953989887299	0.1402736850603479	0.198441852016308	0.7344286117950996	0.5696587759398352	0.2638356274976789	Norwegian (Nynorsk)
37	Persian (Farsi)	IE, Iranian	Arabic	16	0.8533709934913423	0.6391174423840518	0.8405992877317942	0.814290125247181	0.1578042490482623	0.3364853248188628	0.8025297801792951	0.5319133080177122	0.3985836505792296	Persian (Farsi)
38	Polish	IE, Slavic	Latin	18	0.7333018366503278	0.6268824189452549	0.8551644717415697	0.6777913750974802	0.2912951042343353	0.5856906632020316	0.7190397448768676	0.4612199118214511	0.3731471091950628	Polish
39	Portuguese	 IE, Romance	Latin	15	0.7693821686310884	0.7118634481822501	0.89022238309617	0.724028237422921	0.1970115150555392	0.6206592312738954	0.7295545551206931	0.4819124489006857	0.2601746487794945	Portuguese
40	Romanian	IE, Romance	Latin	16	0.7926978681695663	0.6740994854202401	0.8498529772114678	0.7388545987127	0.2142857142857143	0.6463489340847831	0.7395858858123009	0.5796156215798185	0.4067630482724822	Romanian
41	Russian	IE, Slavic	Cyrillic	17	0.7331080011899562	0.6326010038673578	0.8894859768718075	0.7858037671150943	0.3075847052642905	0.2314591522194583	0.7352347315319421	0.4169499609038554	0.3753805644696782	Russian
42	Serbian	IE, Slavic	Latin	15	0.7903861308116628	0.6811137378513265	0.9076263024253568	0.7955946473293787	0.2843884073198494	0.4832326416250766	0.8059714560896594	0.6018006242469159	0.435601085719289	Serbian
43	Slovak	IE, Slavic	Latin	17	0.6249803983064137	0.5159949819664419	0.8126862160890701	0.712239072836646	0.3627097381213737	0.4632272228320527	0.5861690450054885	0.3621108499114541	0.3293868590246197	Slovak
44	Slovenian	IE, Slavic	Latin	17	0.7439273642009276	0.6460183947802846	0.851033723763855	0.8118250128885421	0.2756465686659853	0.4389198962345727	0.6569845137960852	0.4529597288045618	0.2935696879176165	Slovenian
45	Spanish	IE, Romance	Latin	17	0.814296758418583	0.7434781827007785	0.91709965660452	0.8163428418868661	0.1728483846029377	0.6836087089408677	0.7965876197838946	0.5428945440737127	0.3385771561101023	Spanish
46	Swedish	IE, Germanic	Latin	16	0.7973118807024429	0.7049936230746591	0.84582556656529	0.7693834716246539	0.1430393407240263	0.2310409104287256	0.7532620425782399	0.5659990048890708	0.3083488668694201	Swedish
47	Tamil*	 Dravidian	Tamil	14	0.6559780119102153	0.5602382043060009	0.7457627118644068	0.7006615832921333	0.2730187814933578	0.385707741639945	0.5996335318369217	0.430565160364924	0.3073751717819514	Tamil
48	Telugu	Dravidian	Telugu	14	0.8085991678224688	0.7545076282940361	0.8474341192787794	0.6881183860349898	0.2011095700416088	0.4535367545076283	0.7877947295423023	0.4003625129541338	0.3328710124826629	Telugu
49	Turkish	 Turkic, Southwestern	Latin	14	0.756146113267642	0.5881357619189808	0.8523937493779238	0.7318493473785297	0.2930227928734946	0.3446800039812879	0.7392256394943765	0.4587412901166546	0.3913606051557679	Turkish
63	\textbf{Turkish German}	Codeswitching	Latin	17	0.6972406025622976	0.6932986062227228	0.8364775446994228	0.7672618974971279	0.0839082077995213	0.1831620442066732	0.6390961565535689	0.3968498353668486	0.2396170632127269	Turkish German
50	Ukrainian	 IE, Slavic	Cyrillic	18	0.718534407791756	0.5287842773494116	0.8559916516899531	0.6614376917514023	0.324192706823584	0.2630297408545423	0.7236941271957794	0.414284040670307	0.3970085222331729	Ukrainian
51	Urdu	 IE, Indic	Arabic	15	0.8339862218019721	0.7413210860461975	0.8119005808456031	0.7950892565026798	0.0552478724841281	0.6593948399297582	0.7213967310549777	0.6035931309255185	0.2755639605565311	Urdu
62	\textbf{Uyghur}	 Turkic, Southeastern	Arabic	16	0.8293320425943853	0.7070667957405615	0.6766698935140368	0.3536652034076373	0.2990319457889642	0.6322362052274927	0.6486931268151016	0.2468661055135281	0.3582768635043562	Uyghur
52	Vietnamese	 Austro-Asiatic, Viet-Muong	Latin	17	0.7843824837495723	0.7261375299349982	0.8200478959972631	0.6805613256548516	0.0645740677386247	0.4875128292849812	0.7447827574409853	0.465628786498959	0.36033185083818	Vietnamese
53	Welsh	IE, Celtic	Latin	16	0.8224444958371878	0.737222479185939	0.8288043478260869	0.7933515655713279	0.060823311748381	0.5172294172062905	0.7396507863089732	0.4998355981725562	0.3442992599444958	Welsh
61	\textbf{Wolof}	 Niger-Congo, Northern Atlantic	Latin	17	0.7851008215085885	0.7471060492905153	0.828790141896938	0.7334154097732142	0.0502240477968632	0.6272404779686334	0.6990291262135923	0.4625242828182223	0.2686706497386109	Wolof
